instance;obtuse_best;steiner_best;obtuse_dortmund;steiner_dortmund
ortho_10_d2723dcc;0;3;0;3
ortho_20_5a9e8244;0;6;0;8
ortho_20_e2aff192;0;5;0;6
ortho_40_56a6f463;0;19;0;44
ortho_40_df58ce3b;0;11;0;71
ortho_60_5c5796a0;0;20;0;85
ortho_60_c423f527;0;16;0;124
ortho_60_f744490d;0;15;0;171
ortho_80_06ee55d4;0;22;0;108
ortho_100_bd1e4a14;0;33;0;203
ortho_150_53eb4022;0;38;0;568
ortho_250_3b977f7e;0;76;0;593
ortho_250_6e6a66c2;0;81;0;1109
simple-polygon_10_272aa6ea;0;4;0;5
simple-polygon_10_297edd18;0;5;0;9
simple-polygon_10_f2c8d74a;0;5;0;224
simple-polygon_20_0dda68ed;0;8;0;187
simple-polygon_20_35585ee3;0;7;0;354
simple-polygon_20_4bd3c2e5;0;5;0;344
simple-polygon_40_12969fc3;0;14;0;359
simple-polygon_60_0347cd75;0;24;0;274
simple-polygon_60_17af118a;0;14;0;221
simple-polygon_80_48c9df87;0;30;0;200
simple-polygon_80_7b8f6c4c;0;20;0;370
simple-polygon_100_4b4ba391;0;20;0;261
simple-polygon_100_4ee8f447;0;33;18;185
simple-polygon_100_6101abad;0;29;7;214
simple-polygon_100_cb23308c;0;43;37;312
simple-polygon_150_743d6b9c;0;55;15;271
simple-polygon_150_b42a5724;0;84;48;318
simple-polygon_150_c0cf1e9c;0;47;23;149
simple-polygon_150_f24b0f8e;0;32;0;388
simple-polygon_250_432b4814;0;67;21;179
simple-polygon_250_6e9d9c26;0;36;39;272
simple-polygon_250_c02755d7;0;75;38;264
point-set_10_13860916;0;8;0;13
point-set_10_4bcb7c21;0;6;0;9
point-set_10_7451a2a9;0;6;0;7
point-set_10_97578aae;0;5;0;22
point-set_10_ae0fff93;0;8;0;10
point-set_10_c04b0024;0;7;0;10
point-set_10_d009159f;0;7;0;33
point-set_10_f999dc7f;0;10;0;86
point-set_20_0c4009d9;0;21;0;79
point-set_20_34a047f7;0;17;0;328
point-set_20_41c48315;0;15;0;332
point-set_20_54ab0b47;0;11;0;414
point-set_20_5868538a;0;13;0;22
point-set_20_72cd2066;0;16;0;320
point-set_20_fa3fd7e0;0;13;0;404
point-set_40_1b92b629;0;31;0;385
point-set_40_8cbf31aa;0;24;0;433
point-set_40_9451c229;0;27;0;100
point-set_40_ae33a7ea;0;31;0;359
point-set_40_f511c8ce;0;32;0;276
point-set_60_27bc003d;0;43;41;448
point-set_60_2ff8f975;0;48;0;388
point-set_60_74409a1d;0;42;0;372
point-set_60_9fc02edd;0;46;0;453
point-set_60_ac318d72;0;43;0;127
point-set_80_1675b331;0;38;0;412
point-set_80_837b0f11;0;66;0;487
point-set_80_8383fead;0;58;0;489
point-set_80_9a8373fb;0;29;0;93
point-set_80_d77fb670;0;43;0;510
point-set_80_ff15444b;0;60;0;384
point-set_100_0245ce31;0;29;0;73
point-set_100_05594822;0;80;29;493
point-set_100_dd67678e;0;62;17;1273
point-set_150_1fb326cf;0;121;73;3165
point-set_150_20bcb550;0;77;11;638
point-set_150_982c9ab3;0;151;38;4042
point-set_150_b26a2c80;0;95;0;447
point-set_250_3c338713;0;159;33;9001
point-set_250_93dd622a;0;84;5;592
simple-polygon-exterior_10_310dc6c7;0;6;0;338
simple-polygon-exterior_10_40642b31;0;8;0;307
simple-polygon-exterior_10_74050e4d;0;7;0;12
simple-polygon-exterior_10_8b098f5e;0;10;9;0
simple-polygon-exterior_10_a5f0f2fc;0;6;7;0
simple-polygon-exterior_10_c5616894;0;14;0;269
simple-polygon-exterior_20_2a7302a0;0;17;0;311
simple-polygon-exterior_20_7520a1da;0;15;16;0
simple-polygon-exterior_20_87cff693;0;17;0;400
simple-polygon-exterior_20_92dcd467;0;19;15;0
simple-polygon-exterior_20_c820ed5d;0;21;0;280
simple-polygon-exterior_20_ff791267;0;25;25;0
simple-polygon-exterior_40_11434792;0;35;14;365
simple-polygon-exterior_40_7685a35e;0;34;6;371
simple-polygon-exterior_40_785575e7;0;30;29;419
simple-polygon-exterior_40_ca26cbd4;0;42;18;391
