instance;obtuse_best;steiner_best;obtuse_dortmund;steiner_dortmund
simple-polygon_10_272aa6ea;0;4;0;5
simple-polygon_10_297edd18;0;5;0;6
simple-polygon_10_f2c8d74a;0;5;0;6
simple-polygon_20_0dda68ed;0;8;0;17
simple-polygon_20_35585ee3;0;7;0;52
simple-polygon_20_4bd3c2e5;0;5;0;7
simple-polygon_40_12969fc3;0;14;0;48
simple-polygon_60_0347cd75;0;24;0;52
simple-polygon_60_17af118a;0;14;0;43
simple-polygon_80_48c9df87;0;30;0;86
simple-polygon_80_7b8f6c4c;0;20;0;69
simple-polygon_100_4b4ba391;0;20;0;42
simple-polygon_100_4ee8f447;0;33;0;74
simple-polygon_100_6101abad;0;29;0;62
simple-polygon_100_cb23308c;0;43;0;189
simple-polygon_150_743d6b9c;0;55;0;206
simple-polygon_150_b42a5724;0;84;0;277
simple-polygon_150_c0cf1e9c;0;47;0;106
simple-polygon_150_f24b0f8e;0;32;0;94
simple-polygon_250_432b4814;0;67;0;137
simple-polygon_250_6e9d9c26;0;36;0;83
simple-polygon_250_c02755d7;0;75;0;230
