name,#obtuse,#steiner,#steiner_opt,time
ortho_10_d2723dcc,0,11,3,1 m 30 s
ortho_20_5a9e8244,0,11,6,26 s
ortho_20_e2aff192,0,12,5,25 s
ortho_40_56a6f463,0,45,19,5 m 38 s
ortho_40_df58ce3b,0,24,11,1 m 51 s
ortho_60_5c5796a0,0,33,20,1 m 16 s
ortho_60_c423f527,0,69,16,14 m 33 s
ortho_60_f744490d,0,50,15,11 m 24 s
ortho_80_06ee55d4,0,64,22,33 m 19 s
ortho_100_bd1e4a14,0,107,33,25 m 5 s
ortho_150_53eb4022,0,96,38,54 m 51 s
ortho_250_3b977f7e,0,217,76,2 h 56 m 14 s
ortho_250_6e6a66c2,0,166,81,2 h 47 m 41 s
