name,#obtuse,#steiner,#steiner_opt,time
point-set_10_13860916,0,75,8,42 s
point-set_10_4bcb7c21,0,9,6,1 s
point-set_10_7451a2a9,0,10,6,1 s
point-set_10_97578aae,0,8,5,1 s
point-set_10_ae0fff93,0,14,8,2 s
point-set_10_c04b0024,0,16,7,2 s
point-set_10_d009159f,0,28,7,28 s
point-set_10_f999dc7f,0,30,10,6 s
point-set_20_0c4009d9,0,55,21,29 s
point-set_20_34a047f7,0,59,17,25 s
point-set_20_41c48315,0,38,15,10 s
point-set_20_54ab0b47,0,18,11,3 s
point-set_20_5868538a,0,17,13,2 s
point-set_20_72cd2066,0,29,16,7 m  51 s
point-set_20_fa3fd7e0,0,23,13,5 s
point-set_40_1b92b629,0,73,31,54 s
point-set_40_8cbf31aa,0,69,24,58 s
point-set_40_9451c229,0,84,27,2 m 29 s
point-set_40_ae33a7ea,0,91,31,1 m 29 s
point-set_40_f511c8ce,0,68,32,50 s
point-set_60_27bc003d,0,175,43,12 m 13 s
point-set_60_2ff8f975,0,101,48,2 m 29 s
point-set_60_74409a1d,0,109,42,11 m 10 s
point-set_60_9fc02edd,0,113,46,2 m 47 s
point-set_60_ac318d72,0,109,43,4 m 31 s
point-set_80_1675b331,0,97,38,6 m 23 s
point-set_80_837b0f11,0,194,66,6 m 45 s
point-set_80_8383fead,0,165,58,10 m 14 s
point-set_80_9a8373fb,0,131,29,4 m 19 s
point-set_80_d77fb670,0,92,43,2 m 6 s
point-set_80_ff15444b,0,134,60,6 m 24 s
point-set_100_0245ce31,0,119,29,8 m 24 s
point-set_100_05594822,0,178,80,7 m 14 s
point-set_100_dd67678e,0,217,62,13 m 37 s
point-set_150_1fb326cf,0,403,121,2 h 3 m 4 s
point-set_150_20bcb550,0,266,77,18 m 8 s
point-set_150_982c9ab3,0,441,151,57 m 11 s
point-set_150_b26a2c80,0,267,95,32 m 51 s
point-set_250_3c338713,0,455,159,2 h 5 m 1 s
point-set_250_93dd622a,0,249,84,24 m 0 s
