name,#obtuse,#steiner,#steiner_opt,time
simple-polygon_10_272aa6ea,0,7,4,12 s
simple-polygon_10_297edd18,0,6,5,11 s
simple-polygon_10_f2c8d74a,0,6,5,4 s
simple-polygon_20_0dda68ed,0,17,8,6 s
simple-polygon_20_35585ee3,0,55,7,32 s
simple-polygon_20_4bd3c2e5,0,7,5,6 s
simple-polygon_40_12969fc3,0,90,14,5 m 21 s
simple-polygon_60_0347cd75,0,56,24,1 m  26 s
simple-polygon_60_17af118a,0,43,14,1 m 5 s
simple-polygon_80_48c9df87,0,86,30,3 m 19 s
simple-polygon_80_7b8f6c4c,0,69,20,8 m 18 s
simple-polygon_100_4b4ba391,0,42,20,2 m 9 s
simple-polygon_100_4ee8f447,0,107,33,8 m 26 s
simple-polygon_100_6101abad,0,105,29,8 m 19 s
simple-polygon_100_cb23308c,0,189,43,21 m 6 s
simple-polygon_150_743d6b9c,0,206,55,47 m 20 s
simple-polygon_150_b42a5724,0,277,84,1 h 13 m 50 s
simple-polygon_150_c0cf1e9c,0,110,47,11 m 22 s
simple-polygon_150_f24b0f8e,0,102,32,16 m 19 s
simple-polygon_250_432b4814,0,137,67,46 m 58 s
simple-polygon_250_6e9d9c26,0,100,36,31 m 54  s
simple-polygon_250_c02755d7,0,230,75,1 h 29 m 28 s
