name,#obtuse,#steiner,#steiner_opt,time
simple-polygon_10_272aa6ea,0,7,0,0
simple-polygon_10_297edd18,0,6,0,0
simple-polygon_10_f2c8d74a,0,6,0,0
simple-polygon_20_0dda68ed,0,17,0,2
simple-polygon_20_35585ee3,0,52,0,180
simple-polygon_20_4bd3c2e5,0,10,0,3
simple-polygon_40_12969fc3,0,48,0,61
simple-polygon_60_0347cd75,0,52,0,90
simple-polygon_60_17af118a,98,481,0,3682
simple-polygon_80_48c9df87,67,519,0,7788
simple-polygon_80_7b8f6c4c,96,453,0,5607
simple-polygon_100_4b4ba391,0,48,0,279
simple-polygon_100_4ee8f447,0,74,0,620
simple-polygon_100_6101abad,0,62,0,265
simple-polygon_100_cb23308c,0,329,0,10695
simple-polygon_150_b42a5724,0,285,0,7655
simple-polygon_150_c0cf1e9c,0,106,0,1292
simple-polygon_150_f24b0f8e,0,94,0,1435
simple-polygon_250_432b4814,0,202,0,11282
simple-polygon_250_6e9d9c26,0,83,0,2335
