instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
point-set_100_0245ce31,479,479,138,16
point-set_100_05594822,491,491,224,40
point-set_100_dd67678e,359,360,181,24
point-set_10_13860916,253,253,68,1
point-set_10_4bcb7c21,324,324,77,2
point-set_10_7451a2a9,427,427,131,2
point-set_10_97578aae,346,346,101,2
point-set_10_ae0fff93,399,399,102,1
point-set_10_d009159f,330,330,74,2
point-set_10_f999dc7f,306,306,92,0
point-set_150_1fb326cf,771,770,400,69
point-set_150_20bcb550,474,474,203,71
point-set_150_982c9ab3,630,629,306,52
point-set_150_b26a2c80,418,418,199,33
point-set_20_0c4009d9,475,475,150,6
point-set_20_34a047f7,322,322,90,4
point-set_20_41c48315,318,318,83,1
point-set_20_5868538a,345,344,92,2
point-set_20_72cd2066,300,300,89,1
point-set_20_fa3fd7e0,392,392,118,1
point-set_250_3c338713,697,696,469,126
point-set_250_93dd622a,540,540,299,129
point-set_40_8cbf31aa,396,396,103,1
point-set_40_9451c229,509,509,153,7
point-set_40_ae33a7ea,335,335,95,3
point-set_40_f511c8ce,265,265,83,12
point-set_60_27bc003d,494,494,229,20
point-set_60_2ff8f975,386,385,137,3
point-set_60_74409a1d,368,367,129,5
point-set_60_9fc02edd,421,421,123,1
point-set_80_837b0f11,480,480,147,8
point-set_80_8383fead,460,458,185,21
point-set_80_9a8373fb,485,482,156,43
point-set_80_d77fb670,441,441,162,2
point-set_80_ff15444b,392,392,167,12
