instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon_10_272aa6ea,213,213,33,0
simple-polygon_10_f2c8d74a,217,218,64,12
simple-polygon_20_0dda68ed,183,183,38,0
simple-polygon_20_35585ee3,319,319,86,3
simple-polygon_40_12969fc3,337,337,99,0
simple-polygon_60_0347cd75,254,254,79,9
simple-polygon_60_17af118a,221,221,67,7
simple-polygon_80_48c9df87,189,189,56,5
simple-polygon_80_7b8f6c4c,344,343,115,6
simple-polygon_100_4ee8f447,178,178,72,11
simple-polygon_100_6101abad,211,212,74,15
simple-polygon_100_cb23308c,328,328,144,24
simple-polygon_150_743d6b9c,298,298,127,24
simple-polygon_150_b42a5724,338,338,177,44
simple-polygon_150_c0cf1e9c,174,174,84,21
simple-polygon_150_f24b0f8e,369,371,142,23
simple-polygon_250_432b4814,181,180,132,43
simple-polygon_250_6e9d9c26,285,285,132,30
simple-polygon_250_c02755d7,298,298,157,34
