name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
ortho_10_d2723dcc,8.93984,0.676497,20.8902,120.442,584,69591.3
ortho_20_5a9e8244,11.8649,0.748529,9.2631,160.487,298,88523.1
ortho_20_e2aff192,11.6408,0.731746,6.44917,160.409,423,70605.9
ortho_40_56a6f463,12.6155,0.878999,0.549285,178.391,317,120891
ortho_40_df58ce3b,12.9268,0.811084,3.20947,165.081,246,128582
ortho_60_5c5796a0,13.6221,8.23546,0.0295483,179.834,275,102984
ortho_60_c423f527,11.7944,0.740691,2.29565,127.107,405,113109
ortho_60_f744490d,12.1241,0.823808,0.868983,139.213,272,129778
ortho_80_06ee55d4,14.4213,0.868875,2.79692,125.465,248,130317
ortho_100_bd1e4a14,13.9998,0.823494,6.64336,145.521,258,132265
ortho_150_53eb4022,14.8552,0.894828,1.52148,154.78,206,156966
ortho_250_3b977f7e,17.8187,1.69024,0.170761,179.454,224,129142
ortho_250_6e6a66c2,17.3032,2.68903,0.0596105,179.747,240,122154
