name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
simple-polygon_10_272aa6ea,10.5882,0.714608,13.2853,122.155,214,616.567
simple-polygon_10_297edd18,9.44263,0.690033,22.8159,117.319,221,3.71984
simple-polygon_10_f2c8d74a,10.5847,0.712693,19.4453,125.95,241,199.881
simple-polygon_20_0dda68ed,10.639,0.709678,20.6594,111.026,183,215.944
simple-polygon_20_35585ee3,9.52282,0.691826,18.1958,116.508,363,655.243
simple-polygon_20_4bd3c2e5,9.72344,0.693549,19.064,127.875,380,4.31152
simple-polygon_40_12969fc3,9.16933,0.696974,18.1965,116.665,400,635.436
simple-polygon_60_0347cd75,12.221,0.763976,3.31482,127.727,271,219.311
simple-polygon_60_17af118a,12.3581,0.742464,7.55187,145.855,214,217.797
simple-polygon_80_48c9df87,11.9566,0.734344,8.55066,116.879,204,212.791
simple-polygon_80_7b8f6c4c,10.4212,0.712805,18.5923,120.73,331,518.964
simple-polygon_100_4b4ba391,13.2463,0.749983,18.4586,121.369,304,4.71699
simple-polygon_100_4ee8f447,13.0303,0.764339,13.0477,121.42,197,655.225
simple-polygon_100_6101abad,11.0242,0.737013,15.2551,119.099,193,455.989
simple-polygon_100_cb23308c,12.6796,0.776485,11.9344,134.186,349,658.522
simple-polygon_150_743d6b9c,13.2735,0.790606,9.03442,129.561,316,255.578
simple-polygon_150_b42a5724,14.5361,0.845524,7.40822,146.664,285,831.319
simple-polygon_150_c0cf1e9c,14.4686,0.82542,4.39871,159.253,142,492.384
simple-polygon_150_f24b0f8e,10.1548,0.741986,10.3048,123.69,332,460.977
simple-polygon_250_432b4814,14.68,0.996109,0.247925,148.414,161,347.311
simple-polygon_250_6e9d9c26,14.5398,0.878022,10.3048,143.13,224,457.755
simple-polygon_250_c02755d7,15.4869,0.912383,8.18824,135.121,238,255.379
