name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
ortho_10_d2723dcc,8.08443,0.65026,24.7951,120.569,554,69810.8
ortho_20_5a9e8244,8.89365,0.680085,8.97507,159.75,326,88279.8
ortho_20_e2aff192,8.88508,0.67464,6.44917,160.409,358,70211
ortho_40_56a6f463,10.2674,0.815637,0.549285,178.391,321,121374
ortho_40_df58ce3b,11.9478,0.759573,4.03089,164.97,282,126369
ortho_60_c423f527,8.96312,0.685716,2.29565,124.23,405,113109
ortho_60_f744490d,9.9271,0.765124,0.892499,139.213,288,129761
ortho_80_06ee55d4,12.191,0.76507,2.79692,146.199,276,130317
ortho_100_bd1e4a14,14.0174,0.791242,5.98178,145.521,287,132265
ortho_250_3b977f7e,17.5465,1.65706,0.170761,179.454,218,129142
