name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
point-set_10_13860916,8.64981,0.68062,11.6813,129.009,282,177.753
point-set_10_4bcb7c21,8.53763,0.684432,8.10525,121.076,334,593.266
point-set_10_7451a2a9,10.6495,0.704213,20.6913,118.227,467,520.332
point-set_10_97578aae,9.61386,0.688471,22.5892,116.914,344,143.087
point-set_10_ae0fff93,9.18521,0.697672,2.71985,162.777,445,166.616
point-set_10_c04b0024,9.86791,0.690653,21.5477,119.985,374,2.60443
point-set_10_d009159f,9.0636,0.682449,20.6243,106.739,334,210.138
point-set_10_f999dc7f,8.72894,0.673214,21.1292,112.625,330,395.684
point-set_20_0c4009d9,10.1862,0.703127,5.80596,139.272,542,419.013
point-set_20_34a047f7,9.26595,0.708297,2.72631,168.69,344,257.581
point-set_20_41c48315,9.95295,0.698219,8.48581,114.608,361,449.383
point-set_20_54ab0b47,9.84123,0.688573,21.7152,119.095,413,4.22937
point-set_20_5868538a,10.3445,0.711054,3.71395,168.713,329,202.153
point-set_20_72cd2066,8.31339,0.671287,10.5088,157.809,319,200.664
point-set_20_fa3fd7e0,8.73426,0.676688,12.7554,151.536,441,226.962
point-set_40_1b92b629,10.9183,0.712643,16.5044,126.639,418,13.2817
point-set_40_8cbf31aa,9.7752,0.689132,13.8298,112.16,469,716.394
point-set_40_9451c229,9.57575,0.701697,2.29228,169.728,470,534.467
point-set_40_ae33a7ea,9.87993,0.694215,16.131,132.724,362,215.641
point-set_40_f511c8ce,11.023,0.722668,11.07,122.305,302,437.265
point-set_60_27bc003d,12.1166,1.09263,0.136479,179.433,395,888.159
point-set_60_2ff8f975,10.7289,0.733768,1.02978,176.134,442,218.6
point-set_60_74409a1d,10.6601,0.756319,1.04223,171.908,390,215.624
point-set_60_9fc02edd,10.5851,0.69924,22.4002,125.544,508,1128.68
point-set_60_ac318d72,9.48715,0.697657,14.4395,118.443,476,6.74707
point-set_80_1675b331,11.0732,0.707211,18.4349,133.608,472,4.79582
point-set_80_837b0f11,11.8667,0.733102,8.15968,156.645,532,240.626
point-set_80_8383fead,11.4031,0.751203,2.48955,161.565,428,629.138
point-set_80_9a8373fb,10.2539,0.694368,18.4349,135,481,533.095
point-set_80_d77fb670,11.2425,0.717167,11.2119,132.98,504,723.925
point-set_80_ff15444b,10.9016,0.748131,1.63424,173.83,413,215.53
point-set_100_0245ce31,10.4578,0.696842,12.5288,153.435,465,524.312
point-set_100_05594822,12.379,0.875452,0.271542,175.914,439,626.997
point-set_100_dd67678e,13.225,0.933915,0.198965,179.037,373,162.742
point-set_150_1fb326cf,13.2634,1.83919,0.0589084,179.51,493,886.066
point-set_150_20bcb550,11.6478,0.785363,2.2026,153.435,420,469.489
point-set_150_982c9ab3,14.0845,0.957329,0.65478,174.771,534,796.802
point-set_150_b26a2c80,12.949,0.818871,0.977232,176.82,342,725
point-set_250_3c338713,17.2472,2.43212,0.084362,179.708,270,350
point-set_250_93dd622a,15.6398,0.956197,1.03031,177.207,395,476.581
