name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
simple-polygon-exterior_10_310dc6c7,11.7141,0.732653,11.9442,135.679,415,3.3541
simple-polygon-exterior_10_40642b31,11.2374,0.725572,11.7987,140.825,336,189.842
simple-polygon-exterior_10_8b098f5e,12.8192,1.00085,0.771378,177.814,371,922.122
simple-polygon-exterior_10_c5616894,13.8976,0.839333,5.92697,140.33,330,198.748
simple-polygon-exterior_20_2a7302a0,11.483,0.77503,2.35157,143.616,299,207.214
simple-polygon-exterior_20_7520a1da,14.6262,0.9342,2.20629,173.83,368,204.681
simple-polygon-exterior_20_87cff693,14.1097,0.870754,2.0803,174.768,339,446.774
simple-polygon-exterior_20_92dcd467,14.0199,0.94414,1.13379,176.042,346,141.549
simple-polygon-exterior_20_ff791267,14.733,1.75515,0.0417844,179.841,382,491.851
simple-polygon-exterior_40_11434792,12.4962,0.764986,3.89397,155.538,425,213.411
simple-polygon-exterior_40_7685a35e,13.2702,0.784742,2.44813,165.632,447,216.139
simple-polygon-exterior_40_785575e7,13.0712,0.801469,3.84738,169.641,445,196.499
simple-polygon-exterior_40_ff947945,13.1011,0.880005,1.36608,174.289,520,635.167
simple-polygon-exterior_60_1a49dffa,13.6777,0.833478,1.31714,171.351,419,219.966
simple-polygon-exterior_60_494df14f,12.9644,0.827937,1.02583,174.449,533,13.6473
simple-polygon-exterior_60_8670ab75,13.4388,0.810593,2.14759,173.089,545,6.78301
simple-polygon-exterior_60_881cf585,13.4624,0.794727,6.25578,160.486,418,217.557
simple-polygon-exterior_60_ba2c82c0,13.5891,0.820926,2.25457,164.621,502,4.77882
simple-polygon-exterior_80_22d34c7e,14.4248,0.834899,4.23792,163.744,424,217.121
simple-polygon-exterior_100_686dd044,13.6064,1.10278,0.332069,178.684,417,218.833
simple-polygon-exterior_100_f1740925,14.3285,0.835789,1.31714,171.351,446,218.86
simple-polygon-exterior_150_1301b82e,15.4782,0.88028,1.53643,171.924,488,252.322
simple-polygon-exterior_150_89d077ac,13.9198,0.874288,1.13484,177.312,547,13.7523
simple-polygon-exterior_150_fb998503,15.7952,1.2531,0.252197,178.592,355,507.895
simple-polygon-exterior_250_3f7ba0d3,16.6421,0.957146,2.02402,169.051,304,494.228
simple-polygon-exterior_250_a97729dd,15.7332,0.94462,1.00678,176.483,453,13.7523
simple-polygon-exterior_250_c0a19392,17.7661,1.13912,0.818455,177.795,295,505.796
