name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
ortho_10_d2723dcc,10.2924,0.698109,24.1652,107.666,587,70462.5
ortho_20_5a9e8244,12.5486,0.781157,5.35832,150.092,338,87760.9
ortho_20_e2aff192,13.7569,0.767757,6.44917,160.409,440,70211
ortho_40_56a6f463,12.9946,0.882078,0.549285,178.391,336,119878
ortho_40_df58ce3b,13.5637,0.854931,3.20947,149.653,266,128138
ortho_60_c423f527,12.4933,0.755409,2.29565,111.877,447,113109
ortho_60_f744490d,12.8732,0.785104,4.98664,139.213,322,129761
ortho_80_06ee55d4,14.7336,0.863167,2.79692,125.465,271,130317
ortho_100_bd1e4a14,14.6248,0.834077,7.54846,145.521,268,132265
ortho_250_3b977f7e,17.71,1.62785,0.170761,179.454,241,129142
