name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
point-set_10_13860916,10.5529,0.708791,11.4588,106.73,288,176.364
point-set_10_4bcb7c21,8.94994,0.680439,8.18662,121.076,339,588.73
point-set_10_7451a2a9,10.7498,0.705768,25.6324,114.092,484,526.789
point-set_10_97578aae,10.1187,0.694037,24.5567,108.239,370,143.087
point-set_10_ae0fff93,10.7382,0.720437,2.71985,162.777,470,167.89
point-set_10_c04b0024,11.3323,0.720574,21.4439,102.849,446,2.51864
point-set_10_d009159f,10.9767,0.712891,20.8495,108.248,361,210.617
point-set_10_f999dc7f,10.2265,0.704624,21.1292,110.684,381,403.475
point-set_20_0c4009d9,8.64109,0.680126,5.80596,139.272,545,421.76
point-set_20_34a047f7,10.9969,0.729057,2.72631,168.69,362,257.647
point-set_20_41c48315,10.8501,0.713764,8.48581,102.906,368,456.481
point-set_20_54ab0b47,11.0542,0.705497,24.4527,106.6,442,4.20585
point-set_20_5868538a,11.2927,0.730371,3.71395,168.713,370,203.956
point-set_20_72cd2066,11.1743,0.71116,10.5088,157.809,322,210.518
point-set_20_fa3fd7e0,10.1984,0.700271,12.7554,151.536,455,233.747
point-set_40_1b92b629,12.4438,0.733219,16.5044,126.639,476,13.2174
point-set_40_8cbf31aa,11.3244,0.71556,13.8298,111.063,485,718.611
point-set_40_9451c229,10.928,0.722396,2.29228,169.728,590,534.439
point-set_40_ae33a7ea,10.9238,0.706397,16.131,132.724,372,218.053
point-set_40_f511c8ce,11.896,0.73623,13.2424,108.784,319,437.265
point-set_60_27bc003d,12.731,1.07862,0.136479,179.433,415,888.084
point-set_60_2ff8f975,11.6486,0.753004,1.02978,176.134,446,218.6
point-set_60_74409a1d,10.9718,0.759447,1.04223,171.908,405,209.684
point-set_60_9fc02edd,11.9314,0.724928,25.539,105.307,530,1126.47
point-set_60_ac318d72,11.8317,0.729346,11.6461,118.443,491,6.75483
point-set_80_1675b331,11.3738,0.71804,25.5413,103.536,476,4.85608
point-set_80_837b0f11,12.359,0.741952,8.15968,156.645,549,241.201
point-set_80_8383fead,13.0798,0.772568,2.48955,161.565,528,626.997
point-set_80_9a8373fb,11.0809,0.714273,18.4349,135,568,525.328
point-set_80_d77fb670,11.9474,0.731844,11.2119,132.98,527,720.334
point-set_80_ff15444b,11.5218,0.75376,1.63424,173.83,405,215.53
point-set_100_0245ce31,12.3435,0.727932,12.5288,153.435,552,514.212
point-set_100_05594822,13.1135,0.874959,0.271542,175.914,491,626.997
point-set_100_dd67678e,13.5255,0.941584,0.198965,179.037,394,162.742
point-set_150_1fb326cf,14.8342,1.86035,0.0589084,179.51,481,899.682
point-set_150_20bcb550,12.7133,0.796729,2.2026,153.435,496,475.624
point-set_150_982c9ab3,14.4088,0.932344,0.65478,174.771,562,818.043
point-set_150_b26a2c80,13.5461,0.824489,0.977232,176.82,361,725
point-set_250_3c338713,17.508,2.30965,0.084362,179.708,286,350.304
point-set_250_93dd622a,15.1928,0.922836,1.03031,177.207,498,474.994
