name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
simple-polygon_10_272aa6ea,12.4873,0.741111,13.2853,122.155,248,602.571
simple-polygon_10_297edd18,11.5023,0.719083,24.8373,104.801,256,3.69958
simple-polygon_10_f2c8d74a,11.7133,0.726277,20.2101,119.906,255,199.881
simple-polygon_20_0dda68ed,12.1888,0.720522,25.5369,111.026,194,215.43
simple-polygon_20_35585ee3,11.4425,0.718714,10.9347,108.859,361,667.982
simple-polygon_20_4bd3c2e5,10.955,0.711199,24.0633,127.875,380,4.35868
simple-polygon_40_12969fc3,10.3746,0.705905,21.7786,107.602,380,628.615
simple-polygon_60_0347cd75,12.3256,0.752034,7.64865,120.986,292,219.311
simple-polygon_60_17af118a,13.4945,0.775246,7.55187,145.855,245,217.136
simple-polygon_80_48c9df87,13.8918,0.769451,8.55066,112.126,222,212.965
simple-polygon_80_7b8f6c4c,11.6932,0.726429,19.5707,108.049,352,534.003
simple-polygon_100_4b4ba391,13.8738,0.763042,21.2445,116.565,308,4.87465
simple-polygon_100_4ee8f447,14.1933,0.788971,14.6499,112.449,206,655.225
simple-polygon_100_6101abad,12.6102,0.766557,15.2551,116.565,209,466.659
simple-polygon_100_cb23308c,14.2865,0.792895,11.6357,121.401,362,678.388
simple-polygon_150_743d6b9c,14.0557,0.799168,9.03442,128.928,330,255.578
simple-polygon_150_b42a5724,14.6471,0.833054,7.40822,146.664,347,830.056
simple-polygon_150_c0cf1e9c,14.6319,0.83322,4.39871,159.253,146,492.384
simple-polygon_150_f24b0f8e,11.1814,0.751775,11.3099,123.69,339,461.495
simple-polygon_250_432b4814,14.8751,1.00307,0.247925,148.414,166,347.311
simple-polygon_250_6e9d9c26,15.448,0.905472,10.3048,143.13,218,469.681
simple-polygon_250_c02755d7,15.49,0.901479,8.18824,135.121,256,252
