name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
simple-polygon-exterior_10_310dc6c7,12.7807,0.749765,11.9442,133.668,422,3.3541
simple-polygon-exterior_10_40642b31,13.3508,0.757216,11.7987,140.825,367,189.947
simple-polygon-exterior_10_8b098f5e,13.6263,1.02936,0.771378,177.814,369,904.493
simple-polygon-exterior_10_c5616894,14.1632,0.798317,8.44095,140.33,338,197.623
simple-polygon-exterior_20_2a7302a0,12.6899,0.747288,9.32627,131.673,335,207.082
simple-polygon-exterior_20_7520a1da,14.7105,0.905964,2.20629,173.83,407,206.488
simple-polygon-exterior_20_87cff693,14.846,0.840348,2.60871,156.508,387,437.511
simple-polygon-exterior_20_92dcd467,15.5321,0.96625,1.13379,176.042,428,141.586
simple-polygon-exterior_20_ff791267,15.2292,1.76719,0.0417844,179.841,380,491.851
simple-polygon-exterior_40_11434792,13.5659,0.790792,3.89397,155.538,435,216.371
simple-polygon-exterior_40_7685a35e,15.1531,0.825464,2.44813,165.632,457,217.927
simple-polygon-exterior_40_785575e7,13.8538,0.809879,3.84738,169.641,440,198.083
simple-polygon-exterior_40_ff947945,14.605,0.90216,1.36608,174.289,535,633.558
simple-polygon-exterior_60_1a49dffa,14.4452,0.822935,1.31714,171.351,452,219.966
simple-polygon-exterior_60_494df14f,14.3429,0.860079,1.02583,174.449,568,13.6612
simple-polygon-exterior_60_8670ab75,14.25,0.815008,2.14759,173.089,545,6.75426
simple-polygon-exterior_60_881cf585,14.7444,0.816853,3.30495,166.955,442,217.557
simple-polygon-exterior_60_ba2c82c0,14.1805,0.826375,2.25457,154.016,536,4.7228
simple-polygon-exterior_80_22d34c7e,15.1463,0.844021,5.64072,149.925,456,218.799
simple-polygon-exterior_100_686dd044,14.1114,1.09521,0.332069,178.684,450,218.833
simple-polygon-exterior_100_f1740925,14.7312,0.845304,1.31714,171.351,462,218.86
simple-polygon-exterior_150_1301b82e,15.3195,0.878334,1.53643,171.924,524,252
simple-polygon-exterior_150_89d077ac,14.9965,0.897194,1.13484,177.312,575,13.7523
simple-polygon-exterior_150_fb998503,16.6398,1.24995,0.252197,178.592,374,508.388
simple-polygon-exterior_250_3f7ba0d3,17.1279,0.954925,2.02402,169.051,322,495.037
simple-polygon-exterior_250_a97729dd,16.5169,0.94185,1.00678,176.483,491,13.8004
simple-polygon-exterior_250_c0a19392,18.0767,1.07536,0.924822,177.795,333,508.189
