name,deviation,min_angle,max_angle
ortho_100_bd1e4a14,16.2802,4.93479,145.521,264
ortho_10_d2723dcc,9.76533,8.53774e-07,108.983,592
ortho_150_53eb4022,19.9441,1.52148,154.78,122
ortho_20_5a9e8244,13.2151,1.81875,141.15,278
ortho_20_e2aff192,13.6013,4.48646,161.125,234
ortho_250_3b977f7e,25.7558,0,179.556,147
ortho_250_6e6a66c2,24.0133,0.0570057,179.747,88
ortho_40_56a6f463,17.8436,1.20742e-06,178.722,180
ortho_40_df58ce3b,18.9773,0.0419783,143.995,122
ortho_60_5c5796a0,18.0236,0.0147742,179.853,116
ortho_60_c423f527,13.0594,2.29565,128.603,232
ortho_60_f744490d,13.914,0.424869,139.213,169
ortho_80_06ee55d4,16.5666,7.14318e-06,133.423,164
