name,deviation,min_angle,max_angle
point-set_10_13860916,9.17065,21.1977,102.604
point-set_10_4bcb7c21,8.60775,23.9126,115.433
point-set_10_7451a2a9,9.34247,0,101.094
point-set_10_97578aae,9.24861,0,108.144
point-set_10_ae0fff93,8.5452,20.1949,128.865
point-set_10_c04b0024,8.29048,26.7129,104.329
point-set_10_d009159f,8.29609,32.2904,99.6106
point-set_10_f999dc7f,8.84915,21.1292,106.731
point-set_20_0c4009d9,9.159,22.9862,113.63
point-set_20_34a047f7,9.53717,16.6538,119.76
point-set_20_41c48315,9.05686,25.3292,101.176
point-set_20_54ab0b47,8.37855,24.4431,103.213
point-set_20_5868538a,8.60668,19.4538,129.312
point-set_20_72cd2066,9.1592,22.6673,115.194
point-set_20_fa3fd7e0,8.82136,22.4168,116.412
point-set_40_1b92b629,9.24722,21.9816,110.999
point-set_40_8cbf31aa,8.68492,22.2509,101.554
point-set_40_9451c229,9.07199,21.5094,116.565
point-set_40_ae33a7ea,8.82739,24.9172,110.64
point-set_40_f511c8ce,9.98667,12.2969,121.509
point-set_60_27bc003d,11.3489,14.1696,134.653
point-set_60_2ff8f975,10.1636,12.6266,123.473
point-set_60_74409a1d,9.91094,22.6475,118.851
point-set_60_9fc02edd,9.66771,26.0954,101.242
point-set_60_ac318d72,8.78581,13.6835,129.598
point-set_80_1675b331,9.77933,22.249,126.87
point-set_80_837b0f11,9.4248,21.1435,112.928
point-set_80_8383fead,10.8445,16.7333,132.51
point-set_80_9a8373fb,9.99896,21.8014,126.87
point-set_80_d77fb670,9.46501,18.8901,121.341
point-set_80_ff15444b,11.1474,16.7697,129.654
point-set_100_0245ce31,10.0653,20.5976,109.654
point-set_100_05594822,11.2744,9.17303,131.424
point-set_100_dd67678e,11.1245,17.3894,116.928
point-set_150_1fb326cf,12.9999,11.2297,136.277
point-set_150_20bcb550,11.334,11.2117,126.287
point-set_150_982c9ab3,12.1156,14.3832,123.086
point-set_150_b26a2c80,12.0158,8.56093,124.992
point-set_250_3c338713,15.7269,15.4518,135
point-set_250_93dd622a,13.3219,17.3397,129.948
