name,deviation,min_angle,max_angle
simple-polygon_10_272aa6ea,8.77983,13.2853,105.307
simple-polygon_10_297edd18,9.51413,24.9908,108.435
simple-polygon_10_f2c8d74a,9.57296,20.2101,107.701
simple-polygon_20_0dda68ed,9.62806,27.0722,112.303
simple-polygon_20_35585ee3,9.89253,23.4407,113.119
simple-polygon_20_4bd3c2e5,8.98658,24.2277,107.919
simple-polygon_40_12969fc3,9.37589,21.1767,104.354
simple-polygon_60_0347cd75,10.0161,16.5319,111.687
simple-polygon_60_17af118a,10.6217,22.2958,117.217
simple-polygon_80_48c9df87,10.6322,21.2626,116.319
simple-polygon_80_7b8f6c4c,10.1099,18.2567,124.911
simple-polygon_100_4b4ba391,11.1257,18.5133,116.565
simple-polygon_100_4ee8f447,12.3966,20.0235,120.599
simple-polygon_100_6101abad,11.153,21.8014,136.397
simple-polygon_100_cb23308c,11.4527,15.2218,119.006
simple-polygon_150_743d6b9c,12.5617,15.8176,121.072
simple-polygon_150_b42a5724,12.3515,12.3934,125.191
simple-polygon_150_c0cf1e9c,13.4293,13.3648,129.338
simple-polygon_150_f24b0f8e,11.3282,17.5848,126.87
simple-polygon_250_432b4814,14.2202,15.7375,126.87
simple-polygon_250_6e9d9c26,13.1075,8.53774e-07,119.518
simple-polygon_250_c02755d7,13.4647,15.8496,125.518
