name,deviation,min_angle,max_angle
ortho_10_d2723dcc,18.2344,1.02288,166.289,592
ortho_20_5a9e8244,19.7619,3.42334,151.256,278
ortho_20_e2aff192,20.0084,1.17013,161.125,234
ortho_40_56a6f463,20.6325,1.00564,178.722,180
ortho_40_df58ce3b,24.0695,2.0081,149.828,122
ortho_60_5c5796a0,22.4544,1.00407,179.853,116
ortho_60_c423f527,19.7329,1.14767,159.153,232
ortho_60_f744490d,22.2646,1.31688,164.281,169
ortho_80_06ee55d4,22.3412,1.881,146.689,164
ortho_100_bd1e4a14,21.164,1.60306,152.162,264
ortho_150_53eb4022,23.5817,1.52148,157.921,122
ortho_250_3b977f7e,26.0874,1.05195,179.556,147
ortho_250_6e6a66c2,26.0348,1.26711,179.747,88
