name,deviation,min_angle,max_angle
point-set_100_0245ce31,29.0054,1.14224,161.565,991
point-set_100_05594822,21.4835,1.01258,175.914,298
point-set_100_dd67678e,20.3305,1.92604,179.654,197
point-set_10_13860916,18.9977,1.16976,159.721,259
point-set_10_4bcb7c21,18.464,1.80516,168.184,268
point-set_10_7451a2a9,18.9294,1.01847,132.054,300
point-set_10_97578aae,17.7475,1.40028,142.656,312
point-set_10_ae0fff93,18.7348,1.68525,162.777,186
point-set_10_c04b0024,19.3195,1.49518,163.847,213
point-set_10_d009159f,20.0692,1.08562,147.694,297
point-set_10_f999dc7f,20.3722,1.47877,152.562,417
point-set_150_1fb326cf,26.7166,1.00561,179.51,614
point-set_150_20bcb550,23.6347,1.09649,174.017,567
point-set_150_982c9ab3,27.0745,1.99628,174.771,515
point-set_150_b26a2c80,21.6127,1.06214,176.82,342
point-set_20_0c4009d9,17.6371,2.08011,153.584,303
point-set_20_34a047f7,19.5557,1.04725,168.69,412
point-set_20_41c48315,18.471,1.53448,160.453,377
point-set_20_54ab0b47,19.0341,1.6385,158.099,266
point-set_20_5868538a,19.7879,1.16384,170.933,233
point-set_20_72cd2066,20.4563,1.12781,165.693,125
point-set_20_fa3fd7e0,18.3689,1.56845,151.536,542
point-set_250_3c338713,27.4405,1.04274,179.708,105
point-set_250_93dd622a,26.771,1.03031,177.207,825
point-set_40_1b92b629,19.3918,1.45134,178.266,232
point-set_40_8cbf31aa,18.6266,1.3175,169.662,509
point-set_40_9451c229,22.3698,1.02839,169.728,497
point-set_40_ae33a7ea,17.7233,1.51801,166.305,363
point-set_40_f511c8ce,18.8473,1.09011,154.648,292
point-set_60_27bc003d,23.71,1.19469,179.433,384
point-set_60_2ff8f975,21.2719,1.49292,176.728,160
point-set_60_74409a1d,18.953,1.04223,171.908,383
point-set_60_9fc02edd,22.3425,1.03667,174.159,285
point-set_60_ac318d72,18.9211,1.00387,150.422,458
point-set_80_1675b331,18.2957,1.20581,159.258,455
point-set_80_837b0f11,20.6569,1.31869,168.98,299
point-set_80_8383fead,20.9134,1.20542,171.68,602
point-set_80_9a8373fb,30.7702,1.62538,160.817,268
point-set_80_d77fb670,19.1709,1.19655,163.477,325
point-set_80_ff15444b,19.3851,1.02404,173.83,414
