name,deviation,min_angle,max_angle
simple-polygon_100_4b4ba391,20.8945,1.39482,148.506,286
simple-polygon_100_4ee8f447,22.4012,1.09907,163.719,240
simple-polygon_100_6101abad,21.0082,1.07457,140.906,252
simple-polygon_100_cb23308c,29.498,1.06926,176.408,251
simple-polygon_10_272aa6ea,22.5219,2.66961,168.112,168
simple-polygon_10_297edd18,18.4117,1.47248,154.435,205
simple-polygon_10_f2c8d74a,19.7045,1.42808,159.79,239
simple-polygon_150_743d6b9c,23.9287,1.1092,161.952,98
simple-polygon_150_b42a5724,27.199,1.01672,166.463,358
simple-polygon_150_c0cf1e9c,20.3575,1.71977,164.494,152
simple-polygon_150_f24b0f8e,23.3089,1.19434,155.148,507
simple-polygon_20_0dda68ed,18.9719,1.16306,150.633,164
simple-polygon_20_35585ee3,18.8032,3.34683,152.985,411
simple-polygon_20_4bd3c2e5,18.2273,2.0511,147.115,374
simple-polygon_250_432b4814,21.5188,1.00707,169.095,196
simple-polygon_250_6e9d9c26,25.8973,1.27733,160.646,376
simple-polygon_250_c02755d7,21.6415,1.07238,160.587,252
simple-polygon_40_12969fc3,19.1241,1.0352,150.668,351
simple-polygon_60_0347cd75,18.5034,1.20853,156.332,298
simple-polygon_60_17af118a,20.3717,1.23955,149.669,179
simple-polygon_80_48c9df87,19.9926,1.80519,149.427,181
simple-polygon_80_7b8f6c4c,26.0622,1.62375,146.252,498
