name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
ortho_10_d2723dcc,13.3634,0.703423,25.3572,120.326,499,70645.8
ortho_20_5a9e8244,12.5982,0.707082,20.9291,133.449,312,88689.5
ortho_20_e2aff192,13.6443,0.717446,22.0063,131.387,371,70694.9
ortho_40_56a6f463,13.228,0.728785,22.0956,126.791,361,121367
ortho_40_df58ce3b,13.9681,0.733026,23.0374,115.849,262,126669
ortho_60_c423f527,14.1699,0.734802,22.1652,131.401,376,113155
ortho_60_f744490d,16.434,0.799532,20.7937,133.418,531,129761
ortho_80_06ee55d4,15.6943,0.775011,20.8794,131.149,300,129894
ortho_100_bd1e4a14,16.3415,0.808759,20.9787,127.938,362,132265
ortho_250_3b977f7e,18.2215,0.854563,20.8156,133.97,846,130347
