name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
point-set_10_13860916,13.8875,0.722379,21.1977,115.327,253,177.288
point-set_10_4bcb7c21,13.235,0.705094,23.9627,122.446,324,612.372
point-set_10_7451a2a9,13.7914,0.708138,23.9625,115.153,427,526.821
point-set_10_97578aae,13.4551,0.706997,23.3944,116.043,346,143.13
point-set_10_ae0fff93,13.0976,0.70512,21.2444,128.865,399,169.241
point-set_10_c04b0024,12.6789,0.694549,27.2699,116.429,364,2.61719
point-set_10_d009159f,12.7634,0.697508,31.3025,113.827,330,212.085
point-set_10_f999dc7f,13.4386,0.707273,21.1292,118.735,306,404.49
point-set_20_0c4009d9,14.0924,0.721572,21.5162,123.975,475,422.087
point-set_20_34a047f7,13.4308,0.717844,21.1595,127.075,322,256.759
point-set_20_41c48315,13.264,0.708027,28.7041,118.706,318,457.335
point-set_20_54ab0b47,13.3152,0.70822,24.571,112.606,399,4.23867
point-set_20_5868538a,13.486,0.712763,23.2008,129.312,345,202.388
point-set_20_72cd2066,13.6869,0.712778,23.2353,115.194,300,210.811
point-set_20_fa3fd7e0,13.824,0.713947,22.4168,116.497,392,235.899
point-set_40_1b92b629,12.8155,0.708025,21.7872,115.201,368,13.3668
point-set_40_8cbf31aa,13.1923,0.710893,22.2509,109.821,396,723.199
point-set_40_9451c229,13.7494,0.721502,22.3867,127.972,509,534.439
point-set_40_ae33a7ea,13.3566,0.712644,24.4859,117.9,335,218.599
point-set_40_f511c8ce,13.7439,0.72461,20.8231,121.782,265,438.053
point-set_60_27bc003d,15.8951,0.775087,20.9842,134.653,494,900.86
point-set_60_2ff8f975,14.0323,0.726977,21.1476,128.464,386,218.304
point-set_60_74409a1d,14.013,0.728841,21.1169,119.807,368,219.177
point-set_60_9fc02edd,13.5492,0.709736,26.0954,118.296,421,1131.38
point-set_60_ac318d72,13.1529,0.712854,20.7078,129.598,437,6.78578
point-set_80_1675b331,13.3693,0.710728,22.249,126.87,389,4.84207
point-set_80_837b0f11,13.1966,0.719557,20.9034,131.084,480,242.61
point-set_80_8383fead,14.8522,0.74953,21.2622,132.51,460,627.826
point-set_80_9a8373fb,14.1023,0.726284,21.8014,126.87,485,532.952
point-set_80_d77fb670,13.7567,0.722029,21.5432,116.578,441,724.953
point-set_80_ff15444b,14.6686,0.750985,20.7055,130.099,392,216.536
point-set_100_0245ce31,14.1525,0.723984,21.0375,115.353,479,534.439
point-set_100_05594822,15.2844,0.764395,20.8693,131.424,491,626.997
point-set_100_dd67678e,15.1858,0.76605,21.0467,130.901,359,162.714
point-set_150_1fb326cf,17.0212,0.807255,20.7614,136.277,771,900.902
point-set_150_20bcb550,15.0519,0.76406,21.1988,127.423,474,476.437
point-set_150_982c9ab3,15.9667,0.786711,20.8932,129.055,630,832.307
point-set_150_b26a2c80,15.5794,0.777311,20.8541,125.372,418,721.372
point-set_250_3c338713,18.4964,0.856295,20.8091,137.855,697,351.667
point-set_250_93dd622a,16.4659,0.809963,20.7347,129.948,540,475.808
