name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
simple-polygon_10_272aa6ea,12.4633,0.703407,13.2853,108.585,213,614.703
simple-polygon_10_297edd18,13.7973,0.711679,24.9908,113.44,220,3.70814
simple-polygon_10_f2c8d74a,13.936,0.714497,20.2101,116.123,217,199.881
simple-polygon_20_0dda68ed,13.243,0.710892,25.1835,117.877,183,215.755
simple-polygon_20_35585ee3,14.0541,0.719123,22.6416,121.036,319,670.066
simple-polygon_20_4bd3c2e5,12.6967,0.702444,24.2277,110.99,329,4.42169
simple-polygon_40_12969fc3,13.7445,0.713388,21.8985,119.136,337,638.101
simple-polygon_60_0347cd75,13.9161,0.737336,16.5319,127.652,254,217.5
simple-polygon_60_17af118a,14.0936,0.735223,21.8335,119.618,221,217.025
simple-polygon_80_48c9df87,13.5143,0.729382,21.2626,116.319,189,213.869
simple-polygon_80_7b8f6c4c,14.1069,0.731774,20.908,121.755,344,531.482
simple-polygon_100_4b4ba391,13.5821,0.726641,22.751,116.565,258,4.91545
simple-polygon_100_4ee8f447,14.9431,0.764553,20.9151,120.756,178,651.362
simple-polygon_100_6101abad,14.3872,0.745922,21.8014,136.397,211,474.342
simple-polygon_100_cb23308c,15.3422,0.776587,20.9348,120.737,328,680.094
simple-polygon_150_743d6b9c,15.2689,0.775095,20.7659,125.134,298,255.369
simple-polygon_150_b42a5724,15.9714,0.786656,20.9227,129.36,338,833.278
simple-polygon_150_c0cf1e9c,15.3008,0.799032,13.3648,129.338,174,492.501
simple-polygon_150_f24b0f8e,15.2043,0.751567,20.9567,126.87,369,471.476
simple-polygon_250_432b4814,16.2612,0.796476,16.4879,130.713,181,348.589
simple-polygon_250_6e9d9c26,16.3038,0.807412,19.6538,119.518,285,476.839
simple-polygon_250_c02755d7,16.0886,0.803757,20.8085,125.518,298,253.188
