name,deviation,min_angle,max_angle
simple-polygon-exterior-20_100_512f0fc4,14.9423,2.60256,128.118,488
simple-polygon-exterior-20_100_7ed1ca87,16.8998,0.792553,149.621,825
simple-polygon-exterior-20_100_8bfbe418,15.9258,5.54774,124.473,504
simple-polygon-exterior-20_100_8d1c2e30,15.2343,2.60256,147.381,498
simple-polygon-exterior-20_100_8ff7a64d,16.832,0.332069,157.903,851
simple-polygon-exterior-20_100_c256488f,16.1763,2.8106,135.537,517
simple-polygon-exterior-20_10_15783346,14.4752,7.82024,116.211,336
simple-polygon-exterior-20_10_46c44a43,13.4596,10.8074,119.195,311
simple-polygon-exterior-20_10_6fbd9669,14.3866,11.1645,129.223,251
simple-polygon-exterior-20_10_868921c7,14.9255,4.17692,118.366,329
simple-polygon-exterior-20_10_8c4306da,16.7421,1.98851,131.596,354
simple-polygon-exterior-20_10_c6728228,13.9096,9.1338,113.307,323
simple-polygon-exterior-20_10_ce9152de,13.9914,4.82412,114.565,268
simple-polygon-exterior-20_150_7768dd44,16.7933,1.39244,133.691,748
simple-polygon-exterior-20_20_0f96fb2c,15.6405,1.46234,136.327,536
simple-polygon-exterior-20_20_1e719235,13.7297,8.27859,116,430
simple-polygon-exterior-20_20_4ddfa00e,14.4469,4.41361,130.074,387
simple-polygon-exterior-20_20_52abeef5,14.228,9.57544,115.902,311
simple-polygon-exterior-20_20_c27f41dd,14.5809,3.14146,129.383,375
simple-polygon-exterior-20_20_e64ff8fc,14.96,5.52791,117.044,354
simple-polygon-exterior-20_20_eb63a5b6,14.648,5.46543,115.993,394
simple-polygon-exterior-20_250_0c9fa44e,17.4571,3.52023,136.643,528
simple-polygon-exterior-20_250_4441b4ca,17.381,6.00901,131.943,628
simple-polygon-exterior-20_250_823ed1ae,18.0612,1.04939,132.784,546
simple-polygon-exterior-20_250_eb5ab92f,16.9849,0.868051,134.375,724
simple-polygon-exterior-20_40_317d3f6d,13.3869,6.00901,114.91,437
simple-polygon-exterior-20_40_5faf6985,14.0433,2.60256,119.315,465
simple-polygon-exterior-20_40_65de7236,15.1152,1.83883,127.145,575
simple-polygon-exterior-20_40_84415804,15.8857,1.0824,145.748,493
simple-polygon-exterior-20_40_8ad14096,14.0217,5.70767,116.923,396
simple-polygon-exterior-20_40_b9ab4f03,14.6689,4.85737,132.772,413
simple-polygon-exterior-20_60_28a85662,15.4952,5.16419,137.891,436
simple-polygon-exterior-20_60_53ad6d23,14.8523,2.40597,119.372,504
simple-polygon-exterior-20_60_57cd1db6,16.7271,1.28304,137.183,453
simple-polygon-exterior-20_60_8221c868,15.5511,1.64267,130.758,558
simple-polygon-exterior-20_60_e6f13145,15.4639,4.22438,135.383,570
simple-polygon-exterior-20_80_1c5fcde7,14.8644,8.20611,135.216,398
simple-polygon-exterior-20_80_889602ae,15.6073,6.6945,127.145,440
simple-polygon-exterior-20_80_f6e462fb,14.7907,7.79145,129.9,401
simple-polygon-exterior_100_686dd044,17.1124,0.332069,157.903,865
simple-polygon-exterior_100_f1740925,15.9472,4.34238,127.833,473
simple-polygon-exterior_10_310dc6c7,13.1207,11.9442,111.566,328
simple-polygon-exterior_10_40642b31,13.7211,11.7987,112.636,298
simple-polygon-exterior_10_8b098f5e,16.5485,0.771378,125.59,613
simple-polygon-exterior_10_c5616894,14.1541,8.44095,114.87,291
simple-polygon-exterior_150_1301b82e,16.7983,3.75698,154.533,600
simple-polygon-exterior_150_89d077ac,16.7502,1.13484,127.936,672
simple-polygon-exterior_150_fb998503,17.7926,0.252197,171.411,992
simple-polygon-exterior_20_2a7302a0,13.6034,9.33158,113.72,299
simple-polygon-exterior_20_7520a1da,16.797,2.20629,125.03,522
simple-polygon-exterior_20_87cff693,15.8476,2.60871,132.176,445
simple-polygon-exterior_20_92dcd467,15.8933,1.13379,141.433,623
simple-polygon-exterior_20_ff791267,15.759,3.47503,132.353,376
simple-polygon-exterior_250_3f7ba0d3,17.4227,2.02402,150.066,561
simple-polygon-exterior_250_a97729dd,17.4257,3.17983,131.181,779
simple-polygon-exterior_250_c0a19392,18.0637,0.924822,167.864,792
simple-polygon-exterior_40_11434792,14.4327,3.89397,130.211,374
simple-polygon-exterior_40_7685a35e,14.7903,5.38846,131.471,408
simple-polygon-exterior_40_785575e7,15.024,3.84738,121.301,461
simple-polygon-exterior_40_ff947945,16.5724,1.36608,160.357,740
simple-polygon-exterior_60_1a49dffa,15.4149,8.01801,137.137,424
simple-polygon-exterior_60_494df14f,15.2516,2.08257,130.769,609
simple-polygon-exterior_60_8670ab75,15.3772,2.14759,142.175,567
simple-polygon-exterior_60_881cf585,15.3767,6.25578,124.472,408
simple-polygon-exterior_60_ba2c82c0,14.8607,2.25457,124.967,562
simple-polygon-exterior_80_22d34c7e,15.5382,5.64072,130.785,467
