name,deviation,aspect_ratio,min_angle,max_angle,num_steiner,max_length
simple-polygon-exterior-20_10_15783346,14.4752,0.738677,7.82024,116.211,336,200.267
simple-polygon-exterior-20_10_46c44a43,13.4596,0.712317,10.8074,119.195,311,160.377
simple-polygon-exterior-20_10_6fbd9669,14.3866,0.734932,11.1645,129.223,251,200.569
simple-polygon-exterior-20_10_868921c7,14.9255,0.773307,4.17692,118.366,329,112.415
simple-polygon-exterior-20_10_8c4306da,16.7421,0.876865,1.98851,131.596,354,201.904
simple-polygon-exterior-20_10_c6728228,13.9096,0.734649,9.1338,113.307,323,174.295
simple-polygon-exterior-20_10_ce9152de,13.9914,0.752774,4.82412,114.565,268,185.278
simple-polygon-exterior-20_20_0f96fb2c,15.6405,0.808959,1.46234,136.327,536,4.02816
simple-polygon-exterior-20_20_1e719235,13.7297,0.720806,8.27859,116,430,229.005
simple-polygon-exterior-20_20_4ddfa00e,14.4469,0.769723,4.41361,130.074,387,217.527
simple-polygon-exterior-20_20_52abeef5,14.228,0.736884,9.57544,115.902,311,454.004
simple-polygon-exterior-20_20_c27f41dd,14.5809,0.780322,3.14146,129.383,375,210.015
simple-polygon-exterior-20_20_e64ff8fc,14.96,0.77442,5.52791,117.044,354,214.328
simple-polygon-exterior-20_20_eb63a5b6,14.648,0.74772,5.46543,115.993,394,212.561
simple-polygon-exterior-20_40_317d3f6d,13.3869,0.730929,6.00901,114.91,437,4.49066
simple-polygon-exterior-20_40_5faf6985,14.0433,0.751824,2.60256,119.315,465,4.52348
simple-polygon-exterior-20_40_65de7236,15.1152,0.776729,1.83883,127.145,575,13.2272
simple-polygon-exterior-20_40_8ad14096,14.0217,0.746736,5.70767,116.923,396,217.557
simple-polygon-exterior-20_40_b9ab4f03,14.6689,0.762112,4.85737,132.772,413,211.533
simple-polygon-exterior-20_60_28a85662,15.4952,0.776499,5.16419,137.891,436,215.291
simple-polygon-exterior-20_60_53ad6d23,14.8523,0.76695,2.40597,119.372,504,4.63228
simple-polygon-exterior-20_60_57cd1db6,16.7271,0.88514,1.28304,137.183,453,348.399
simple-polygon-exterior-20_60_8221c868,15.5511,0.805643,1.64267,130.758,558,251.758
simple-polygon-exterior-20_60_e6f13145,15.4639,0.788373,4.22438,135.383,570,827.827
simple-polygon-exterior-20_80_1c5fcde7,14.8644,0.76601,8.20611,135.216,398,219.055
simple-polygon-exterior-20_80_889602ae,15.6073,0.789778,6.6945,127.145,440,213.863
simple-polygon-exterior-20_80_f6e462fb,14.7907,0.771347,7.79145,129.9,401,216.77
simple-polygon-exterior-20_100_512f0fc4,14.9423,0.780369,2.60256,128.118,488,4.92306
simple-polygon-exterior-20_100_7ed1ca87,16.8998,0.858514,0.792553,149.621,825,219.02
simple-polygon-exterior-20_100_8bfbe418,15.9258,0.799325,5.54774,124.473,504,219.891
simple-polygon-exterior-20_100_8d1c2e30,15.2343,0.785763,2.60256,147.381,498,4.92443
simple-polygon-exterior-20_100_8ff7a64d,16.832,0.922625,0.332069,157.903,851,219.933
simple-polygon-exterior-20_100_c256488f,16.1763,0.820488,2.8106,135.537,517,217.42
simple-polygon-exterior-20_150_7768dd44,16.7933,0.85138,1.39244,133.691,748,255.808
simple-polygon-exterior-20_250_0c9fa44e,17.4571,0.849914,3.52023,136.643,528,499.879
simple-polygon-exterior-20_250_4441b4ca,17.381,0.842604,6.00901,131.943,628,13.9284
simple-polygon-exterior-20_250_823ed1ae,18.0612,0.882998,1.04939,132.784,546,500.962
simple-polygon-exterior-20_250_eb5ab92f,16.9849,0.862031,0.868051,134.375,724,13.9284
