name,deviation,min_angle,max_angle
ortho_100_bd1e4a14,16.3415,20.9787,127.938,362
ortho_10_d2723dcc,13.3634,25.3572,120.326,499
ortho_150_53eb4022,18.3577,20.7058,128.345,4128
ortho_20_5a9e8244,12.5982,20.9291,133.449,312
ortho_20_e2aff192,13.6443,22.0063,131.387,371
ortho_250_3b977f7e,18.2215,20.8156,133.97,846
ortho_250_6e6a66c2,17.7454,20.737,135.014,1544
ortho_40_56a6f463,13.228,22.0956,126.791,361
ortho_40_df58ce3b,13.9681,23.0374,115.849,262
ortho_60_5c5796a0,18.7844,20.8361,136.404,4844
ortho_60_c423f527,14.1699,22.1652,131.401,376
ortho_60_f744490d,16.434,20.7937,133.418,531
ortho_80_06ee55d4,15.6943,20.8794,131.149,300
