name,deviation,min_angle,max_angle
ortho_10_d2723dcc,8.29858,27.7253,108.488
ortho_20_5a9e8244,8.93086,20.9291,133.449
ortho_20_e2aff192,9.31919,22.0063,131.387
ortho_40_56a6f463,10.7298,24.3399,111.059
ortho_40_df58ce3b,10.7013,23.5344,115.849
ortho_60_5c5796a0,18.5789,18.7378,117.228
ortho_60_c423f527,10.6007,23.6076,107.611
ortho_60_f744490d,12.9261,19.683,128.48
ortho_80_06ee55d4,13.0051,14.6848,125.017
ortho_100_bd1e4a14,13.6921,20.9787,124.479
ortho_150_53eb4022,16.1668,8.12131,134.794
ortho_250_3b977f7e,16.0324,12.8694,136.712
ortho_250_6e6a66c2,15.8812,9.25639,133.908
