name,deviation,min_angle,max_angle
point-set_10_13860916,9.26049,21.1977,108.104
point-set_10_4bcb7c21,8.56839,17.3505,124.339
point-set_10_7451a2a9,9.27426,25.0398,109.764
point-set_10_97578aae,8.89988,28.1479,108.144
point-set_10_ae0fff93,8.55926,21.2444,128.865
point-set_10_c04b0024,8.04451,32.2374,110.733
point-set_10_d009159f,8.32419,31.8771,104.409
point-set_10_f999dc7f,8.82452,21.1292,106.731
point-set_20_0c4009d9,8.85176,23.211,110.406
point-set_20_34a047f7,9.23184,20.3145,119.76
point-set_20_41c48315,8.87056,27.0054,105.233
point-set_20_54ab0b47,8.2339,26.151,103.61
point-set_20_5868538a,8.41087,21.8086,129.312
point-set_20_72cd2066,9.22819,23.6846,115.737
point-set_20_fa3fd7e0,8.65509,22.4168,116.412
point-set_40_1b92b629,8.97448,22.1272,107.745
point-set_40_8cbf31aa,8.51321,22.2509,101.554
point-set_40_9451c229,9.14391,21.5283,116.699
point-set_40_ae33a7ea,8.72903,24.9172,116.942
point-set_40_f511c8ce,9.7352,20.8231,121.509
point-set_60_27bc003d,11.3995,14.6573,134.653
point-set_60_2ff8f975,10.1219,19.3457,125.445
point-set_60_74409a1d,9.9119,22.1126,122.586
point-set_60_9fc02edd,9.65414,26.0954,104.977
point-set_60_ac318d72,8.64366,16.2189,129.598
point-set_80_1675b331,9.41789,22.249,126.87
point-set_80_837b0f11,9.48511,21.1435,121.414
point-set_80_8383fead,10.9451,13.4284,140.304
point-set_80_9a8373fb,9.86835,21.8014,126.87
point-set_80_d77fb670,9.39196,21.2838,116.389
point-set_80_ff15444b,11.2063,12.6831,129.654
point-set_100_0245ce31,10.1051,21.0375,109.654
point-set_100_05594822,11.2167,18.4349,131.424
point-set_100_dd67678e,11.1984,17.207,122.181
point-set_150_1fb326cf,13.2174,11.9296,136.277
point-set_150_20bcb550,11.2355,18.4349,128.062
point-set_150_982c9ab3,12.099,17.8407,137.301
point-set_150_b26a2c80,12.084,14.702,124.992
point-set_250_3c338713,16.0496,14.9882,145.83
point-set_250_93dd622a,13.1773,18.7421,132.675
