name,deviation,min_angle,max_angle
simple-polygon_10_272aa6ea,8.6845,13.2853,105.307
simple-polygon_10_297edd18,8.92684,24.9908,108.435
simple-polygon_10_f2c8d74a,9.5348,20.2101,109.382
simple-polygon_20_0dda68ed,9.30741,28.5986,112.303
simple-polygon_20_35585ee3,9.75281,25.2347,108.928
simple-polygon_20_4bd3c2e5,8.91605,24.2277,107.919
simple-polygon_40_12969fc3,9.34062,22.5259,107.819
simple-polygon_60_0347cd75,10.0455,16.5319,115.492
simple-polygon_60_17af118a,10.7028,22.376,117.217
simple-polygon_80_48c9df87,10.591,21.2626,116.319
simple-polygon_80_7b8f6c4c,9.89591,14.8882,135.971
simple-polygon_100_4b4ba391,11.2041,22.0234,120.509
simple-polygon_100_4ee8f447,12.1704,19.1044,123.889
simple-polygon_100_6101abad,11.1673,21.8014,136.397
simple-polygon_100_cb23308c,11.2573,17.6165,128.448
simple-polygon_150_743d6b9c,12.4802,15.3635,123.628
simple-polygon_150_b42a5724,12.4403,14.1618,134.219
simple-polygon_150_c0cf1e9c,13.0292,13.3648,129.338
simple-polygon_150_f24b0f8e,10.9973,18.7938,126.87
simple-polygon_250_432b4814,14.1243,16.4879,126.87
simple-polygon_250_6e9d9c26,12.6884,19.6538,118.155
simple-polygon_250_c02755d7,13.3752,18.2447,125.518
