name,deviation,min_angle,max_angle
simple-polygon-exterior-20_100_512f0fc4,12.4428,2.60256,129.113
simple-polygon-exterior-20_100_7ed1ca87,14.9041,0.792553,149.621
simple-polygon-exterior-20_100_8bfbe418,13.7112,5.54774,134.794
simple-polygon-exterior-20_100_8d1c2e30,12.7767,2.60256,147.381
simple-polygon-exterior-20_100_8ff7a64d,14.6656,0.332069,141.864
simple-polygon-exterior-20_100_c256488f,13.5055,2.8106,134.49
simple-polygon-exterior-20_150_41e0c5f0,15.1894,0.411946,145.797
simple-polygon-exterior-20_150_7768dd44,14.4,1.39244,135.591
simple-polygon-exterior-20_250_0c9fa44e,15.2991,3.52023,140.41
simple-polygon-exterior-20_250_4441b4ca,15.2978,6.00901,130.729
simple-polygon-exterior-20_250_823ed1ae,15.8899,1.04939,131.214
simple-polygon-exterior-20_250_eb5ab92f,15.1103,0.868051,144.387
simple-polygon-exterior-20_10_15783346,9.57218,7.82024,106.102
simple-polygon-exterior-20_10_46c44a43,9.39854,10.8074,104.926
simple-polygon-exterior-20_10_6fbd9669,10.0746,11.1645,129.786
simple-polygon-exterior-20_10_868921c7,11.1348,4.17692,118.225
simple-polygon-exterior-20_10_8c4306da,14.511,1.98851,147.644
simple-polygon-exterior-20_10_c6728228,10.5193,9.1338,118.947
simple-polygon-exterior-20_10_ce9152de,10.4491,4.82412,127.823
simple-polygon-exterior-20_20_0f96fb2c,11.8085,1.46234,127.4
simple-polygon-exterior-20_20_1e719235,9.97203,8.27859,118.321
simple-polygon-exterior-20_20_4ddfa00e,11.3007,4.41361,113.135
simple-polygon-exterior-20_20_52abeef5,10.7754,9.57544,115.902
simple-polygon-exterior-20_20_c27f41dd,11.0834,3.14146,136.298
simple-polygon-exterior-20_20_e64ff8fc,11.8055,5.52791,117.044
simple-polygon-exterior-20_20_eb63a5b6,10.8429,5.46543,114.076
simple-polygon-exterior-20_40_317d3f6d,10.2733,6.00901,121.185
simple-polygon-exterior-20_40_5faf6985,11.2091,2.60256,132.829
simple-polygon-exterior-20_40_65de7236,11.6993,1.83883,133.523
simple-polygon-exterior-20_40_84415804,12.8345,1.0824,133.342
simple-polygon-exterior-20_40_8ad14096,10.9775,5.70767,120.306
simple-polygon-exterior-20_40_b9ab4f03,11.3535,4.85737,122.848
simple-polygon-exterior-20_60_28a85662,12.0332,5.16419,137.891
simple-polygon-exterior-20_60_53ad6d23,12.0701,2.40597,122.508
