name,deviation,min_angle,max_angle,num_steiner
simple-polygon-exterior-20_10_15783346,9.57218,7.82024,106.102,336
simple-polygon-exterior-20_10_46c44a43,9.39854,10.8074,104.926,311
simple-polygon-exterior-20_10_6fbd9669,10.0746,11.1645,129.786,251
simple-polygon-exterior-20_10_868921c7,11.1348,4.17692,118.225,329
simple-polygon-exterior-20_10_8c4306da,14.511,1.98851,147.644,354
simple-polygon-exterior-20_10_c6728228,10.5193,9.1338,118.947,323
simple-polygon-exterior-20_10_ce9152de,10.4491,4.82412,127.823,268
simple-polygon-exterior-20_20_0f96fb2c,11.8085,1.46234,127.4,536
simple-polygon-exterior-20_20_1e719235,9.97203,8.27859,118.321,430
simple-polygon-exterior-20_20_4ddfa00e,11.3007,4.41361,113.135,387
simple-polygon-exterior-20_20_52abeef5,10.7754,9.57544,115.902,311
simple-polygon-exterior-20_20_c27f41dd,11.0834,3.14146,136.298,375
simple-polygon-exterior-20_20_e64ff8fc,11.8055,5.52791,117.044,354
simple-polygon-exterior-20_20_eb63a5b6,10.8429,5.46543,114.076,394
simple-polygon-exterior-20_40_317d3f6d,10.2733,6.00901,121.185,437
simple-polygon-exterior-20_40_5faf6985,11.2091,2.60256,132.829,465
simple-polygon-exterior-20_40_65de7236,11.6993,1.83883,133.523,575
simple-polygon-exterior-20_40_8ad14096,10.9775,5.70767,120.306,396
simple-polygon-exterior-20_40_b9ab4f03,11.3535,4.85737,122.848,413
simple-polygon-exterior-20_60_28a85662,12.0332,5.16419,137.891,436
simple-polygon-exterior-20_60_53ad6d23,12.0701,2.40597,122.508,504
simple-polygon-exterior-20_60_57cd1db6,14.3154,1.28304,138.537,453
simple-polygon-exterior-20_60_8221c868,12.3108,1.64267,129.342,558
simple-polygon-exterior-20_60_e6f13145,12.3338,4.22438,128.144,570
simple-polygon-exterior-20_80_1c5fcde7,11.7111,8.20611,119.239,398
simple-polygon-exterior-20_80_889602ae,13.1231,6.6945,124.701,440
simple-polygon-exterior-20_80_f6e462fb,12.1952,7.79145,129.9,401
simple-polygon-exterior-20_100_512f0fc4,12.4428,2.60256,129.113,488
simple-polygon-exterior-20_100_7ed1ca87,14.9041,0.792553,149.621,825
simple-polygon-exterior-20_100_8bfbe418,13.7112,5.54774,134.794,504
simple-polygon-exterior-20_100_8d1c2e30,12.7767,2.60256,147.381,498
simple-polygon-exterior-20_100_8ff7a64d,14.6656,0.332069,141.864,851
simple-polygon-exterior-20_100_c256488f,13.5055,2.8106,134.49,517
simple-polygon-exterior-20_150_7768dd44,14.4,1.39244,135.591,748
simple-polygon-exterior-20_250_0c9fa44e,15.2991,3.52023,140.41,528
simple-polygon-exterior-20_250_4441b4ca,15.2978,6.00901,130.729,628
simple-polygon-exterior-20_250_823ed1ae,15.8899,1.04939,131.214,546
simple-polygon-exterior-20_250_eb5ab92f,15.1103,0.868051,144.387,724
