name,deviation,min_angle,max_angle
ortho_10_d2723dcc,8.46213,29.2861,102.115
ortho_20_5a9e8244,8.96048,20.9291,133.449
ortho_20_e2aff192,9.53644,22.0063,131.387
ortho_40_56a6f463,10.758,24.9727,111.059
ortho_40_df58ce3b,10.8395,23.1496,115.849
ortho_60_5c5796a0,18.5949,22.2736,117.228
ortho_60_c423f527,10.5767,23.6076,104.688
ortho_60_f744490d,12.9841,20.7937,118.572
ortho_80_06ee55d4,13.0953,20.3025,116.371
ortho_150_53eb4022,15.8508,18.686,119.611
ortho_100_bd1e4a14,13.8849,20.9787,124.479
ortho_250_3b977f7e,16.1644,16.0435,126.197
ortho_250_6e6a66c2,15.6426,19.4164,135.363
