name,deviation,min_angle,max_angle
point-set_10_13860916,9.26603,21.1977,102.604
point-set_10_4bcb7c21,8.69823,24.9289,112.835
point-set_10_7451a2a9,9.40621,23.9625,101.094
point-set_10_97578aae,8.92396,27.6664,108.144
point-set_10_ae0fff93,8.6306,21.2444,128.865
point-set_10_c04b0024,8.19432,27.8076,104.351
point-set_10_d009159f,8.37332,34.0923,99.1399
point-set_10_f999dc7f,8.80841,21.1292,106.731
point-set_20_0c4009d9,9.22012,23.5432,114.273
point-set_20_34a047f7,9.60291,22.0891,119.76
point-set_20_41c48315,9.1498,27.4363,100.982
point-set_20_54ab0b47,8.33265,25.4067,98.7928
point-set_20_5868538a,8.43687,21.2257,129.312
point-set_20_72cd2066,9.12873,23.6846,115.194
point-set_20_fa3fd7e0,8.73067,22.4168,116.412
point-set_40_1b92b629,9.33051,22.2856,108.858
point-set_40_8cbf31aa,8.68422,22.2509,101.554
point-set_40_9451c229,9.1737,25.2011,116.025
point-set_40_ae33a7ea,8.91282,24.9172,110.64
point-set_40_f511c8ce,10.1198,20.8231,121.509
point-set_60_27bc003d,11.4658,19.7658,134.653
point-set_60_2ff8f975,10.2459,21.151,123.473
point-set_60_74409a1d,10.0492,22.6475,118.851
point-set_60_9fc02edd,9.61533,26.0954,100.62
point-set_60_ac318d72,8.81651,18.0434,129.598
point-set_80_1675b331,9.51032,22.249,126.87
point-set_80_837b0f11,9.52392,21.1435,112.306
point-set_80_8383fead,10.9165,20.2439,132.51
point-set_80_9a8373fb,10.117,21.8014,126.87
point-set_80_d77fb670,9.41287,20.7088,116.389
point-set_80_ff15444b,11.2009,19.5953,129.654
point-set_100_0245ce31,10.0747,21.0375,109.654
point-set_100_05594822,11.4571,19.037,131.424
point-set_100_dd67678e,11.1487,19.8117,116.928
point-set_150_1fb326cf,13.1793,15.6536,136.277
point-set_150_20bcb550,11.3072,20.1058,123.148
point-set_150_982c9ab3,12.389,20.7253,121.178
point-set_150_b26a2c80,12.1501,17.2795,124.992
point-set_250_3c338713,15.7732,17.9681,135
point-set_250_93dd622a,13.2245,21.1186,129.948
