name,deviation,min_angle,max_angle
simple-polygon_10_272aa6ea,8.86669,13.2853,105.307
simple-polygon_10_297edd18,9.39639,24.9908,108.435
simple-polygon_10_f2c8d74a,9.54638,20.2101,106.713
simple-polygon_20_0dda68ed,9.68723,27.9809,112.303
simple-polygon_20_35585ee3,9.95402,24.8784,103.134
simple-polygon_20_4bd3c2e5,9.05859,24.2277,107.919
simple-polygon_40_12969fc3,9.46823,23.3009,104.196
simple-polygon_60_0347cd75,10.097,16.5319,110.994
simple-polygon_60_17af118a,10.7295,23.3919,117.217
simple-polygon_80_48c9df87,10.6519,21.2626,116.319
simple-polygon_80_7b8f6c4c,10.1624,19.7287,121.329
simple-polygon_100_4b4ba391,11.2162,20.2553,116.565
simple-polygon_100_4ee8f447,12.4404,21.5303,119.262
simple-polygon_100_6101abad,11.1693,21.7209,136.397
simple-polygon_100_cb23308c,11.4515,20.8389,117.552
simple-polygon_150_743d6b9c,12.547,17.1744,121.072
simple-polygon_150_b42a5724,12.4003,19.4866,124.574
simple-polygon_150_c0cf1e9c,13.3138,13.3648,129.338
simple-polygon_150_f24b0f8e,11.0476,20.6443,126.87
simple-polygon_250_432b4814,14.2276,16.4879,126.87
simple-polygon_250_6e9d9c26,12.8076,19.6538,119.518
simple-polygon_250_c02755d7,13.5472,18.9085,125.518
