name,deviation,min_angle,max_angle
simple-polygon-exterior-20_10_15783346,10.0351,7.82024,109.73,336
simple-polygon-exterior-20_10_46c44a43,9.59913,10.8074,104.926,311
simple-polygon-exterior-20_10_6fbd9669,10.1711,11.1645,129.223,251
simple-polygon-exterior-20_10_868921c7,10.9468,4.17692,109.951,329
simple-polygon-exterior-20_10_8c4306da,14.0326,1.98851,116.276,354
simple-polygon-exterior-20_10_c6728228,10.5377,9.1338,113.307,323
simple-polygon-exterior-20_10_ce9152de,10.4744,4.82412,119.242,268
simple-polygon-exterior-20_20_0f96fb2c,11.7304,1.46234,117.859,536
simple-polygon-exterior-20_20_1e719235,10.159,8.27859,114.122,430
simple-polygon-exterior-20_20_4ddfa00e,11.2709,4.41361,111.12,387
simple-polygon-exterior-20_20_52abeef5,10.857,9.57544,115.902,311
simple-polygon-exterior-20_20_c27f41dd,10.9863,3.14146,117.013,375
simple-polygon-exterior-20_20_e64ff8fc,11.9627,5.52791,121.765,354
simple-polygon-exterior-20_20_eb63a5b6,10.8768,5.46543,124.176,394
simple-polygon-exterior-20_40_317d3f6d,10.392,6.00901,118.695,437
simple-polygon-exterior-20_40_5faf6985,11.2739,2.60256,119.629,465
simple-polygon-exterior-20_40_65de7236,11.7156,1.83883,118.844,575
simple-polygon-exterior-20_40_8ad14096,11.0909,5.70767,115.937,396
simple-polygon-exterior-20_40_b9ab4f03,11.2924,4.85737,115.051,413
simple-polygon-exterior-20_60_28a85662,12.017,5.16419,137.891,436
simple-polygon-exterior-20_60_53ad6d23,12.013,2.40597,117.808,504
simple-polygon-exterior-20_60_57cd1db6,14.3477,1.28304,154.514,453
simple-polygon-exterior-20_60_8221c868,12.2471,1.64267,125.1,558
simple-polygon-exterior-20_60_e6f13145,12.1945,4.22438,124.541,570
simple-polygon-exterior-20_80_1c5fcde7,11.6463,8.20611,122.602,398
simple-polygon-exterior-20_80_889602ae,13.1573,6.6945,122.291,440
simple-polygon-exterior-20_80_f6e462fb,12.1777,7.79145,129.9,401
simple-polygon-exterior-20_100_512f0fc4,12.3744,2.60256,124.498,488
simple-polygon-exterior-20_100_7ed1ca87,14.8642,0,149.621,825
simple-polygon-exterior-20_100_8bfbe418,13.6698,7.02485e-05,122.257,504
simple-polygon-exterior-20_100_8d1c2e30,12.7642,2.60256,147.381,498
simple-polygon-exterior-20_100_8ff7a64d,14.2449,0.332069,129.279,851
simple-polygon-exterior-20_100_c256488f,13.4726,1.70755e-06,123.893,517
simple-polygon-exterior-20_150_7768dd44,14.0752,1.39244,125.518,748
simple-polygon-exterior-20_250_0c9fa44e,15.2633,3.52023,136.643,528
simple-polygon-exterior-20_250_4441b4ca,15.2314,6.00901,128.276,628
simple-polygon-exterior-20_250_823ed1ae,15.8503,1.04939,128.07,546
simple-polygon-exterior-20_250_eb5ab92f,14.7811,0.868051,131.148,724
