name,deviation,min_angle,max_angle,num_steiner
simple-polygon-exterior_10_310dc6c7,9.50717,11.9442,109.769,328
simple-polygon-exterior_10_40642b31,9.99832,11.7987,112.301,298
simple-polygon-exterior_10_8b098f5e,13.6298,0.771378,118.22,613
simple-polygon-exterior_10_c5616894,11.3203,8.44095,119.011,291
simple-polygon-exterior_20_2a7302a0,10.1984,9.33158,113.72,299
simple-polygon-exterior_20_7520a1da,13.9305,2.20629,127.447,522
simple-polygon-exterior_20_87cff693,12.2741,2.60871,116.297,445
simple-polygon-exterior_20_92dcd467,13.2326,1.13379,126.384,623
simple-polygon-exterior_20_ff791267,13.2854,3.47503,120.632,376
simple-polygon-exterior_40_11434792,11.6419,3.89397,122.109,374
simple-polygon-exterior_40_7685a35e,12.1781,5.38846,126.223,408
simple-polygon-exterior_40_785575e7,11.917,3.84738,117.076,461
simple-polygon-exterior_40_ff947945,13.5048,1.36608,130.984,740
simple-polygon-exterior_60_1a49dffa,12.7299,8.01801,134.188,424
simple-polygon-exterior_60_494df14f,12.8097,2.08257,130.769,609
simple-polygon-exterior_60_8670ab75,12.6769,2.14759,129.221,567
simple-polygon-exterior_60_881cf585,12.9212,6.25578,126.225,408
simple-polygon-exterior_60_ba2c82c0,12.103,2.25457,124.496,562
simple-polygon-exterior_80_22d34c7e,13.1248,5.64072,121.251,467
simple-polygon-exterior_100_686dd044,14.731,0.332069,130.332,865
simple-polygon-exterior_100_f1740925,13.3558,4.34238,123.195,473
simple-polygon-exterior_150_1301b82e,14.4387,3.75698,154.533,600
simple-polygon-exterior_150_89d077ac,14.6539,1.13484,126.87,672
simple-polygon-exterior_150_fb998503,15.4235,0.252197,126.542,992
simple-polygon-exterior_250_3f7ba0d3,15.5513,2.02402,126.931,561
simple-polygon-exterior_250_a97729dd,15.5241,3.17983,130.362,779
simple-polygon-exterior_250_c0a19392,15.9501,0.924822,132.956,792
