instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon_10_272aa6ea,213,213,33,0
simple-polygon_10_f2c8d74a,217,207,64,1
simple-polygon_20_0dda68ed,183,179,38,0
simple-polygon_20_35585ee3,319,313,86,2
simple-polygon_40_12969fc3,337,335,99,2
simple-polygon_60_0347cd75,254,247,79,4
simple-polygon_60_17af118a,221,216,67,5
simple-polygon_80_48c9df87,189,180,56,4
simple-polygon_80_7b8f6c4c,344,339,115,8
simple-polygon_100_4ee8f447,178,176,72,17
simple-polygon_100_6101abad,211,203,74,13
simple-polygon_100_cb23308c,328,321,144,30
simple-polygon_150_743d6b9c,298,287,127,26
simple-polygon_150_b42a5724,338,335,177,52
simple-polygon_150_c0cf1e9c,174,173,84,31
simple-polygon_150_f24b0f8e,369,364,142,14
simple-polygon_250_432b4814,181,176,132,40
simple-polygon_250_6e9d9c26,285,279,132,29
simple-polygon_250_c02755d7,298,296,157,38
