instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
point-set_10_13860916,253,242,68,2
point-set_10_4bcb7c21,324,309,77,1
point-set_10_7451a2a9,427,403,131,0
point-set_10_97578aae,346,331,101,3
point-set_10_ae0fff93,399,390,102,6
point-set_10_c04b0024,364,353,89,1
point-set_10_d009159f,330,322,74,1
point-set_10_f999dc7f,306,290,92,0
point-set_20_0c4009d9,475,453,150,5
point-set_20_34a047f7,322,307,90,1
point-set_20_41c48315,318,306,83,1
point-set_20_54ab0b47,399,387,110,0
point-set_20_5868538a,345,342,92,1
point-set_20_72cd2066,300,289,89,2
point-set_20_fa3fd7e0,392,379,118,2
point-set_40_1b92b629,368,353,94,6
point-set_40_8cbf31aa,396,386,103,1
point-set_40_9451c229,509,495,153,11
point-set_40_ae33a7ea,335,327,95,4
point-set_40_f511c8ce,265,257,83,7
point-set_60_27bc003d,494,477,229,36
point-set_60_2ff8f975,386,373,137,12
point-set_60_74409a1d,368,352,129,16
point-set_60_9fc02edd,421,406,123,5
point-set_60_ac318d72,437,429,129,9
point-set_80_1675b331,389,375,132,5
point-set_80_837b0f11,480,469,147,25
point-set_80_8383fead,460,445,185,37
point-set_80_9a8373fb,485,462,156,19
point-set_80_d77fb670,441,433,162,8
point-set_80_ff15444b,392,375,167,27
point-set_100_0245ce31,479,472,138,20
point-set_100_05594822,491,473,224,44
point-set_100_dd67678e,359,353,181,42
point-set_150_1fb326cf,771,742,400,104
point-set_150_20bcb550,474,458,203,82
point-set_150_982c9ab3,630,611,306,108
point-set_150_b26a2c80,418,403,199,54
point-set_250_3c338713,697,653,469,163
point-set_250_93dd622a,540,531,299,158
