instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon_100_4b4ba391,258,241,68,7
simple-polygon_100_4ee8f447,178,174,72,15
simple-polygon_100_6101abad,211,203,74,16
simple-polygon_100_cb23308c,328,312,144,33
simple-polygon_10_272aa6ea,213,208,33,0
simple-polygon_10_297edd18,220,211,59,1
simple-polygon_10_f2c8d74a,217,203,64,2
simple-polygon_150_743d6b9c,298,279,127,26
simple-polygon_150_b42a5724,338,330,177,56
simple-polygon_150_c0cf1e9c,174,169,84,36
simple-polygon_150_f24b0f8e,369,353,142,16
simple-polygon_20_0dda68ed,183,177,38,0
simple-polygon_20_35585ee3,319,299,86,1
simple-polygon_20_4bd3c2e5,329,320,73,2
simple-polygon_250_432b4814,181,174,132,48
simple-polygon_250_6e9d9c26,285,275,132,34
simple-polygon_250_c02755d7,298,291,157,41
simple-polygon_40_12969fc3,337,330,99,4
simple-polygon_60_0347cd75,254,240,79,10
simple-polygon_60_17af118a,221,209,67,4
simple-polygon_80_48c9df87,189,180,56,4
simple-polygon_80_7b8f6c4c,344,324,115,11
