instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon-exterior-20_100_512f0fc4,488,460,211,60
simple-polygon-exterior-20_100_7ed1ca87,825,793,431,177
simple-polygon-exterior-20_100_8bfbe418,504,485,245,113
simple-polygon-exterior-20_100_8d1c2e30,498,478,220,90
simple-polygon-exterior-20_100_8ff7a64d,851,809,438,178
simple-polygon-exterior-20_100_c256488f,517,490,280,109
simple-polygon-exterior-20_10_15783346,336,327,102,21
simple-polygon-exterior-20_10_46c44a43,311,299,88,8
simple-polygon-exterior-20_10_6fbd9669,251,246,73,11
simple-polygon-exterior-20_10_868921c7,329,321,119,22
simple-polygon-exterior-20_10_8c4306da,354,343,163,44
simple-polygon-exterior-20_10_c6728228,323,312,93,26
simple-polygon-exterior-20_10_ce9152de,268,265,82,27
simple-polygon-exterior-20_150_7768dd44,748,711,427,160
simple-polygon-exterior-20_20_0f96fb2c,536,522,222,58
simple-polygon-exterior-20_20_1e719235,430,409,126,24
simple-polygon-exterior-20_20_4ddfa00e,387,372,126,46
simple-polygon-exterior-20_20_52abeef5,311,292,97,24
simple-polygon-exterior-20_20_c27f41dd,375,366,120,37
simple-polygon-exterior-20_20_e64ff8fc,354,341,122,38
simple-polygon-exterior-20_20_eb63a5b6,394,385,146,41
simple-polygon-exterior-20_250_0c9fa44e,528,500,407,225
simple-polygon-exterior-20_250_4441b4ca,628,598,432,250
simple-polygon-exterior-20_250_823ed1ae,546,515,446,248
simple-polygon-exterior-20_250_eb5ab92f,724,703,447,221
simple-polygon-exterior-20_40_317d3f6d,437,423,133,33
simple-polygon-exterior-20_40_5faf6985,465,443,156,39
simple-polygon-exterior-20_40_65de7236,575,552,222,52
simple-polygon-exterior-20_40_8ad14096,396,385,133,42
simple-polygon-exterior-20_40_b9ab4f03,413,393,173,37
simple-polygon-exterior-20_60_28a85662,436,418,199,63
simple-polygon-exterior-20_60_53ad6d23,504,481,190,77
simple-polygon-exterior-20_60_57cd1db6,453,428,234,81
simple-polygon-exterior-20_60_8221c868,558,541,253,82
simple-polygon-exterior-20_60_e6f13145,570,548,242,94
simple-polygon-exterior-20_80_1c5fcde7,398,379,160,60
simple-polygon-exterior-20_80_889602ae,440,417,209,74
simple-polygon-exterior-20_80_f6e462fb,401,382,176,64
simple-polygon-exterior_100_686dd044,865,821,440,192
simple-polygon-exterior_100_f1740925,473,444,239,98
simple-polygon-exterior_10_310dc6c7,328,317,83,14
simple-polygon-exterior_10_40642b31,298,281,88,19
simple-polygon-exterior_10_8b098f5e,613,600,278,84
simple-polygon-exterior_10_c5616894,291,280,85,21
simple-polygon-exterior_150_1301b82e,600,573,348,186
simple-polygon-exterior_150_89d077ac,672,647,401,185
simple-polygon-exterior_150_fb998503,992,946,569,258
simple-polygon-exterior_20_2a7302a0,299,289,97,30
simple-polygon-exterior_20_7520a1da,522,507,255,118
simple-polygon-exterior_20_87cff693,445,432,194,54
simple-polygon-exterior_20_92dcd467,623,608,282,84
simple-polygon-exterior_20_ff791267,376,362,158,64
simple-polygon-exterior_250_3f7ba0d3,561,527,425,243
simple-polygon-exterior_250_a97729dd,779,739,510,265
simple-polygon-exterior_250_c0a19392,792,750,577,346
simple-polygon-exterior_40_11434792,374,358,141,45
simple-polygon-exterior_40_7685a35e,408,396,153,77
simple-polygon-exterior_40_785575e7,461,446,181,75
simple-polygon-exterior_40_ff947945,740,719,366,123
simple-polygon-exterior_60_1a49dffa,424,407,177,70
simple-polygon-exterior_60_494df14f,609,583,252,85
simple-polygon-exterior_60_8670ab75,567,546,249,94
simple-polygon-exterior_60_881cf585,408,387,179,65
simple-polygon-exterior_60_ba2c82c0,562,545,201,84
simple-polygon-exterior_80_22d34c7e,467,450,204,96
