instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon-exterior_10_310dc6c7,328,321,83,2
simple-polygon-exterior_10_40642b31,298,292,88,2
simple-polygon-exterior_10_8b098f5e,613,624,278,31
simple-polygon-exterior_10_c5616894,291,286,85,7
simple-polygon-exterior_20_2a7302a0,299,289,97,6
simple-polygon-exterior_20_7520a1da,522,523,255,43
simple-polygon-exterior_20_87cff693,445,450,194,28
simple-polygon-exterior_20_92dcd467,623,623,282,36
simple-polygon-exterior_20_ff791267,376,377,158,35
simple-polygon-exterior_40_11434792,374,374,141,19
simple-polygon-exterior_40_7685a35e,408,403,153,25
simple-polygon-exterior_40_785575e7,461,456,181,26
simple-polygon-exterior_40_ff947945,740,750,366,57
simple-polygon-exterior_60_1a49dffa,424,435,177,46
simple-polygon-exterior_60_494df14f,609,600,252,36
simple-polygon-exterior_60_8670ab75,567,561,249,37
simple-polygon-exterior_60_881cf585,408,406,179,32
simple-polygon-exterior_60_ba2c82c0,562,565,201,26
simple-polygon-exterior_80_22d34c7e,467,466,204,47
simple-polygon-exterior_100_686dd044,865,881,440,101
simple-polygon-exterior_100_f1740925,473,478,239,63
simple-polygon-exterior_150_1301b82e,600,594,348,97
simple-polygon-exterior_150_89d077ac,672,672,401,85
simple-polygon-exterior_150_fb998503,992,1020,569,164
simple-polygon-exterior_250_3f7ba0d3,561,594,425,189
simple-polygon-exterior_250_a97729dd,779,799,510,181
simple-polygon-exterior_250_c0a19392,792,822,577,255
