instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon_10_272aa6ea,213,213,33,0
simple-polygon_10_297edd18,220,218,59,1
simple-polygon_10_f2c8d74a,217,207,64,1
simple-polygon_20_0dda68ed,183,178,38,0
simple-polygon_20_35585ee3,319,312,86,1
simple-polygon_20_4bd3c2e5,329,325,73,2
simple-polygon_40_12969fc3,337,334,99,1
simple-polygon_60_0347cd75,254,244,79,4
simple-polygon_60_17af118a,221,212,67,5
simple-polygon_80_48c9df87,189,179,56,4
simple-polygon_80_7b8f6c4c,344,335,115,8
simple-polygon_100_4b4ba391,258,246,68,5
simple-polygon_100_4ee8f447,178,176,72,9
simple-polygon_100_6101abad,211,203,74,13
simple-polygon_100_cb23308c,328,319,144,28
simple-polygon_150_743d6b9c,298,285,127,22
simple-polygon_150_b42a5724,338,331,177,45
simple-polygon_150_c0cf1e9c,174,172,84,28
simple-polygon_150_f24b0f8e,369,361,142,12
simple-polygon_250_432b4814,181,175,132,40
simple-polygon_250_6e9d9c26,285,278,132,30
simple-polygon_250_c02755d7,298,291,157,33
