instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon-exterior-20_10_15783346,336,337,102,2
simple-polygon-exterior-20_10_46c44a43,311,311,88,3
simple-polygon-exterior-20_10_6fbd9669,251,251,73,1
simple-polygon-exterior-20_10_868921c7,329,331,119,9
simple-polygon-exterior-20_10_8c4306da,354,365,163,13
simple-polygon-exterior-20_10_c6728228,323,322,93,3
simple-polygon-exterior-20_10_ce9152de,268,269,82,3
simple-polygon-exterior-20_20_0f96fb2c,536,542,222,30
simple-polygon-exterior-20_20_1e719235,430,427,126,6
simple-polygon-exterior-20_20_4ddfa00e,387,392,126,7
simple-polygon-exterior-20_20_52abeef5,311,310,97,7
simple-polygon-exterior-20_20_c27f41dd,375,383,120,22
simple-polygon-exterior-20_20_e64ff8fc,354,353,122,4
simple-polygon-exterior-20_20_eb63a5b6,394,393,146,8
simple-polygon-exterior-20_40_317d3f6d,437,441,133,12
simple-polygon-exterior-20_40_5faf6985,465,465,156,19
simple-polygon-exterior-20_40_65de7236,575,577,222,20
simple-polygon-exterior-20_40_8ad14096,396,391,133,11
simple-polygon-exterior-20_40_b9ab4f03,413,410,173,13
simple-polygon-exterior-20_60_28a85662,436,440,199,29
simple-polygon-exterior-20_60_53ad6d23,504,502,190,19
simple-polygon-exterior-20_60_57cd1db6,453,457,234,30
simple-polygon-exterior-20_60_8221c868,558,566,253,41
simple-polygon-exterior-20_60_e6f13145,570,571,242,48
simple-polygon-exterior-20_80_1c5fcde7,398,398,160,22
simple-polygon-exterior-20_80_889602ae,440,461,209,56
simple-polygon-exterior-20_80_f6e462fb,401,403,176,33
simple-polygon-exterior-20_100_512f0fc4,488,492,211,30
simple-polygon-exterior-20_100_7ed1ca87,825,824,431,76
simple-polygon-exterior-20_100_8bfbe418,504,516,245,51
simple-polygon-exterior-20_100_8d1c2e30,498,501,220,29
simple-polygon-exterior-20_100_8ff7a64d,851,891,438,116
simple-polygon-exterior-20_100_c256488f,517,523,280,66
simple-polygon-exterior-20_150_7768dd44,748,758,427,100
simple-polygon-exterior-20_250_0c9fa44e,528,524,407,154
simple-polygon-exterior-20_250_4441b4ca,628,646,432,124
simple-polygon-exterior-20_250_823ed1ae,546,557,446,167
simple-polygon-exterior-20_250_eb5ab92f,724,742,447,118


simple-polygon-exterior_10_310dc6c7,328,324,83,2
simple-polygon-exterior_10_40642b31,298,295,88,0
simple-polygon-exterior_10_8b098f5e,613,638,278,44
simple-polygon-exterior_10_c5616894,291,288,85,4
simple-polygon-exterior_20_2a7302a0,299,295,97,3
simple-polygon-exterior_20_7520a1da,522,533,255,30
simple-polygon-exterior_20_87cff693,445,447,194,15
simple-polygon-exterior_20_92dcd467,623,635,282,31
simple-polygon-exterior_20_ff791267,376,387,158,28
simple-polygon-exterior_40_11434792,374,379,141,18
simple-polygon-exterior_40_7685a35e,408,402,153,17
simple-polygon-exterior_40_785575e7,461,459,181,19
simple-polygon-exterior_40_ff947945,740,768,366,50
simple-polygon-exterior_60_1a49dffa,424,436,177,43
simple-polygon-exterior_60_494df14f,609,606,252,30
simple-polygon-exterior_60_8670ab75,567,572,249,38
simple-polygon-exterior_60_881cf585,408,412,179,23
simple-polygon-exterior_60_ba2c82c0,562,571,201,33
simple-polygon-exterior_80_22d34c7e,467,474,204,36
simple-polygon-exterior_100_686dd044,865,888,440,86
simple-polygon-exterior_100_f1740925,473,485,239,53
simple-polygon-exterior_150_1301b82e,600,604,348,89
simple-polygon-exterior_150_89d077ac,672,681,401,68
simple-polygon-exterior_150_fb998503,992,1020,569,144
simple-polygon-exterior_250_3f7ba0d3,561,593,425,160
simple-polygon-exterior_250_a97729dd,779,1145,510,165
simple-polygon-exterior_250_c0a19392,792,821,577,206
