instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon-exterior_10_310dc6c7,328,320,83,14
simple-polygon-exterior_10_40642b31,298,284,88,18
simple-polygon-exterior_10_8b098f5e,613,601,278,78
simple-polygon-exterior_10_c5616894,291,284,85,21
simple-polygon-exterior_20_2a7302a0,299,295,97,29
simple-polygon-exterior_20_7520a1da,522,511,255,103
simple-polygon-exterior_20_87cff693,445,437,194,51
simple-polygon-exterior_20_92dcd467,623,613,282,78
simple-polygon-exterior_20_ff791267,376,363,158,59
simple-polygon-exterior_40_11434792,374,363,141,41
simple-polygon-exterior_40_7685a35e,408,397,153,67
simple-polygon-exterior_40_785575e7,461,451,181,66
simple-polygon-exterior_40_ff947945,740,725,366,103
simple-polygon-exterior_60_1a49dffa,424,414,177,70
simple-polygon-exterior_60_494df14f,609,592,252,74
simple-polygon-exterior_60_8670ab75,567,551,249,81
simple-polygon-exterior_60_881cf585,408,393,179,62
simple-polygon-exterior_60_ba2c82c0,562,546,201,83
simple-polygon-exterior_80_22d34c7e,467,457,204,87
simple-polygon-exterior_100_686dd044,865,824,440,160
simple-polygon-exterior_100_f1740925,473,457,239,89
simple-polygon-exterior_150_1301b82e,600,579,348,156
simple-polygon-exterior_150_89d077ac,672,650,401,145
simple-polygon-exterior_150_fb998503,992,957,569,222
simple-polygon-exterior_250_3f7ba0d3,561,535,425,211
simple-polygon-exterior_250_a97729dd,779,741,510,218
simple-polygon-exterior_250_c0a19392,792,754,577,270
