instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
point-set_10_13860916,253,243,68,1
point-set_10_4bcb7c21,324,310,77,2
point-set_10_7451a2a9,427,403,131,1
point-set_10_97578aae,346,334,101,2
point-set_10_ae0fff93,399,390,102,5
point-set_10_c04b0024,364,355,89,1
point-set_10_d009159f,330,322,74,2
point-set_10_f999dc7f,306,291,92,0
point-set_20_0c4009d9,475,454,150,9
point-set_20_34a047f7,322,309,90,4
point-set_20_41c48315,318,307,83,3
point-set_20_54ab0b47,399,386,110,1
point-set_20_5868538a,345,342,92,1
point-set_20_72cd2066,300,290,89,2
point-set_20_fa3fd7e0,392,379,118,4
point-set_40_1b92b629,368,355,94,6
point-set_40_8cbf31aa,396,387,103,6
point-set_40_9451c229,509,495,153,10
point-set_40_ae33a7ea,335,327,95,7
point-set_40_f511c8ce,265,259,83,9
point-set_60_27bc003d,494,479,229,48
point-set_60_2ff8f975,386,376,137,19
point-set_60_74409a1d,368,354,129,14
point-set_60_9fc02edd,421,409,123,8
point-set_60_ac318d72,437,431,129,12
point-set_80_1675b331,389,375,132,8
point-set_80_837b0f11,480,471,147,32
point-set_80_8383fead,460,445,185,39
point-set_80_9a8373fb,485,464,156,19
point-set_80_d77fb670,441,433,162,8
point-set_80_ff15444b,392,378,167,33
point-set_100_0245ce31,479,471,138,21
point-set_100_05594822,491,476,224,57
point-set_100_dd67678e,359,351,181,44
point-set_150_1fb326cf,771,743,400,117
point-set_150_20bcb550,474,459,203,89
point-set_150_982c9ab3,630,613,306,109
point-set_150_b26a2c80,418,408,199,61
point-set_250_3c338713,697,652,469,189
point-set_250_93dd622a,540,530,299,157
