instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon-exterior-20_100_512f0fc4,488,460,211,60
simple-polygon-exterior-20_100_7ed1ca87,825,793,431,177
simple-polygon-exterior-20_100_8bfbe418,504,485,245,113
simple-polygon-exterior-20_100_8d1c2e30,498,478,220,90
simple-polygon-exterior-20_100_8ff7a64d,851,809,438,178
simple-polygon-exterior-20_100_c256488f,517,490,280,109
simple-polygon-exterior-20_10_15783346,336,327,102,21
simple-polygon-exterior-20_10_46c44a43,311,299,88,8
simple-polygon-exterior-20_10_6fbd9669,251,246,73,11
simple-polygon-exterior-20_10_868921c7,329,321,119,22
simple-polygon-exterior-20_10_8c4306da,354,343,163,44
simple-polygon-exterior-20_10_c6728228,323,312,93,26
simple-polygon-exterior-20_10_ce9152de,268,265,82,27
simple-polygon-exterior-20_150_7768dd44,748,711,427,160
