instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
simple-polygon-exterior_10_310dc6c7,328,321,83,2
simple-polygon-exterior_10_40642b31,298,291,88,2
simple-polygon-exterior_10_8b098f5e,613,633,278,53
simple-polygon-exterior_10_c5616894,291,284,85,2
simple-polygon-exterior_20_2a7302a0,299,288,97,5
simple-polygon-exterior_20_7520a1da,522,531,255,53
simple-polygon-exterior_20_87cff693,445,448,194,20
simple-polygon-exterior_20_92dcd467,623,627,282,43
simple-polygon-exterior_20_ff791267,376,378,158,28
simple-polygon-exterior_40_11434792,374,373,141,18
simple-polygon-exterior_40_7685a35e,408,406,153,28
simple-polygon-exterior_40_785575e7,461,454,181,32
simple-polygon-exterior_40_ff947945,740,757,366,66
simple-polygon-exterior_60_1a49dffa,424,440,177,52
simple-polygon-exterior_60_494df14f,609,605,252,43
simple-polygon-exterior_60_8670ab75,567,564,249,47
simple-polygon-exterior_60_881cf585,408,405,179,36
simple-polygon-exterior_60_ba2c82c0,562,570,201,32
simple-polygon-exterior_80_22d34c7e,467,466,204,52
simple-polygon-exterior_100_686dd044,865,881,440,137
simple-polygon-exterior_100_f1740925,473,471,239,48
simple-polygon-exterior_150_1301b82e,600,595,348,99
simple-polygon-exterior_150_89d077ac,672,675,401,99
simple-polygon-exterior_150_fb998503,992,1024,569,192
simple-polygon-exterior_250_3f7ba0d3,561,591,425,181
simple-polygon-exterior_250_a97729dd,779,806,510,218
simple-polygon-exterior_250_c0a19392,792,822,577,259
