instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
point-set_100_0245ce31,479,479,138,21
point-set_100_05594822,491,491,224,38
point-set_100_dd67678e,359,360,181,36
point-set_10_13860916,253,253,68,1
point-set_10_4bcb7c21,324,324,77,2
point-set_10_7451a2a9,427,427,131,5
point-set_10_97578aae,346,346,101,1
point-set_10_ae0fff93,399,399,102,4
point-set_10_d009159f,330,330,74,0
point-set_10_f999dc7f,306,306,92,2
point-set_150_1fb326cf,771,768,400,67
point-set_150_20bcb550,474,473,203,77
point-set_150_982c9ab3,630,633,306,73
point-set_150_b26a2c80,418,418,199,45
point-set_20_0c4009d9,475,475,150,7
point-set_20_34a047f7,322,322,90,6
point-set_20_41c48315,318,318,83,2
point-set_20_5868538a,345,346,92,1
point-set_20_72cd2066,300,300,89,2
point-set_20_fa3fd7e0,392,393,118,4
point-set_250_3c338713,697,695,469,131
point-set_250_93dd622a,540,540,299,144
point-set_40_8cbf31aa,396,396,103,2
point-set_40_9451c229,509,511,153,9
point-set_40_ae33a7ea,335,335,95,4
point-set_40_f511c8ce,265,265,83,9
point-set_60_27bc003d,494,495,229,23
point-set_60_2ff8f975,386,385,137,7
point-set_60_74409a1d,368,369,129,12
point-set_60_9fc02edd,421,421,123,6
point-set_80_837b0f11,480,480,147,17
point-set_80_8383fead,460,459,185,31
point-set_80_9a8373fb,485,482,156,17
point-set_80_d77fb670,441,441,162,8
point-set_80_ff15444b,392,394,167,22
