instance,steiner_meshing,steiner_optimized,obtuse_meshing,obtuse_optimized
ortho_10_d2723dcc,499,499,127,2
ortho_20_5a9e8244,312,312,61,4
ortho_20_e2aff192,371,371,100,4
ortho_40_56a6f463,361,361,67,2
ortho_40_df58ce3b,262,262,53,5
ortho_60_5c5796a0,4844,4844,916,13
ortho_60_c423f527,376,376,115,4
ortho_60_f744490d,531,523,227,26
ortho_80_06ee55d4,300,298,95,13
ortho_100_bd1e4a14,362,358,149,26
ortho_150_53eb4022,4128,3907,2245,101
ortho_250_3b977f7e,846,838,352,107
ortho_250_6e6a66c2,1544,1504,590,133
